,SIO2,CAO,AL2O3,MGO,1726
365,43.12,2.09,2.62,50.65296,LHERZOLITE
366,44.12,1.8,2.83,50.74283,LHERZOLITE
367,44.75,2.25,2.35,49.08271,LHERZOLITE
368,43.29,2.84,2.63,49.21577,LHERZOLITE
369,43.91,2.46,2.655,50.11,LHERZOLITE
370,55.5,0.76,2.95,40.35,LHERZOLITE
371,45.0,1.77,2.37,49.1698,LHERZOLITE
372,44.57,1.93,2.37,50.45,HARZBURGITE
373,43.21,2.35,2.859,49.47,LHERZOLITE
374,44.86,2.0,2.38,48.970079999999996,LHERZOLITE
375,44.6,2.84,2.39,47.11331,LHERZOLITE
376,44.23,1.93,2.77,49.68,LHERZOLITE
377,44.69,2.38,2.4,46.32493,LHERZOLITE
378,44.11,2.12,2.4,49.73807,LHERZOLITE
379,42.84,3.45,2.822,48.98,LHERZOLITE
380,44.45,2.51,2.4,47.951859999999996,LHERZOLITE
381,44.2,2.22,2.41,48.757259999999995,LHERZOLITE
382,43.9,1.89,2.86,50.15,LHERZOLITE
383,44.39,1.91,2.41,50.67757,LHERZOLITE
384,44.82,1.79,3.32,49.33821,LHERZOLITE
385,44.56,2.2,2.42,48.04857,LHERZOLITE
386,44.12,2.02,2.42,48.97769,LHERZOLITE
387,46.62,2.41,2.8,47.7,LHERZOLITE
388,45.13,1.09,2.43,49.16637,LHERZOLITE
389,44.34,1.78,2.43,49.737359999999995,LHERZOLITE
390,44.5,1.94,2.43,49.54372,LHERZOLITE
391,44.37,1.45,2.92,49.32415,LHERZOLITE
392,42.89,1.28,2.45,50.864740000000005,LHERZOLITE
393,44.34,2.27,2.45,49.31021,LHERZOLITE
394,44.56,2.69,3.1,48.10315,LHERZOLITE
395,44.59,2.85,2.46,47.77746,LHERZOLITE
396,45.0,1.98,2.46,48.79655,LHERZOLITE
397,43.6,2.21,2.46,50.28567,LHERZOLITE
398,43.41,2.39,2.93,49.99255,LHERZOLITE
399,44.93,4.11,2.46,48.23,LHERZOLITE
400,44.15,1.25,2.47,49.50535,LHERZOLITE
401,44.13,2.26,2.47,48.55048,LHERZOLITE
402,44.31,2.18,2.47,48.689370000000004,LHERZOLITE
403,44.49,2.18,2.47,48.97139,LHERZOLITE
404,42.8,3.61,2.88,49.30133,LHERZOLITE
405,46.71,2.36,2.88,47.31,LHERZOLITE
406,44.44,2.24,2.48,48.686440000000005,LHERZOLITE
407,43.95,2.04,2.48,49.89414,LHERZOLITE
408,44.48,3.24,2.92,48.54416,LHERZOLITE
409,44.13,2.02,2.49,49.49203,LHERZOLITE
410,43.86,2.12,2.49,50.05686,LHERZOLITE
411,44.39,2.25,2.5,48.70644,LHERZOLITE
412,42.05,4.59,2.5,48.57014,LHERZOLITE
413,42.1,1.77,2.51,50.4604,LHERZOLITE
414,43.67,1.75,2.82,50.0778,LHERZOLITE
415,45.25,1.86,2.52,49.59,LHERZOLITE
416,52.91,21.78,3.34,20.0,LHERZOLITE
417,45.13,2.79,2.54,46.471090000000004,LHERZOLITE
