Rock Type,SIO2,CAO,AL2O3,MGO
HARZBURGITE,37.7,0.18,3.92,43.68754
HARZBURGITE,39.29,0.07,1.01,43.90836
HARZBURGITE,39.1,0.35,1.86,43.82066
HARZBURGITE,39.91,0.42,1.22,45.61464
HARZBURGITE,39.91,0.42,1.22,45.61464
HARZBURGITE,39.91,0.42,1.22,45.61464
HARZBURGITE,39.9,0.9,0.69,47.4
HARZBURGITE,38.08,0.81,0.88,43.94765
HARZBURGITE,39.74,0.58,1.86,44.52985
HARZBURGITE,39.26,1.12,1.44,44.7346
HARZBURGITE,37.14,0.18,2.84,44.16825
HARZBURGITE,40.1,1.71,1.52,44.7819
HARZBURGITE,35.65,0.52,0.57,44.04987
HARZBURGITE,38.3,0.62,0.6,45.22574
HARZBURGITE,39.2,0.58,2.53,43.62015
HARZBURGITE,41.9,1.4,1.18,43.72963
HARZBURGITE,39.22,0.63,2.36,43.67015
HARZBURGITE,42.43,0.2,0.53,46.18
HARZBURGITE,39.63,2.92,0.76,45.46719
HARZBURGITE,38.21,0.82,2.15,44.25914
HARZBURGITE,36.47,0.15,0.45,51.39
HARZBURGITE,41.7,1.46,1.7,46.71741
HARZBURGITE,39.86,0.77,1.36,45.13076
HARZBURGITE,39.21,1.66,0.59,44.81563
HARZBURGITE,40.64,0.78,0.93,48.57
HARZBURGITE,39.6,1.65,0.85,46.50787
HARZBURGITE,38.47,0.42,1.22,45.87612
HARZBURGITE,37.17,0.02,0.52,44.87997
HARZBURGITE,40.6,1.88,1.65,46.08867
HARZBURGITE,38.85,0.89,0.66,45.89119
HARZBURGITE,39.8,2,2.18,46.50554
HARZBURGITE,41.7,2.09,2,46.34372
HARZBURGITE,41.7,2.86,2.28,46.7314
HARZBURGITE,37.78,0.31,0.66,45.67462
HARZBURGITE,38.42,0.79,0.6,45.73755
HARZBURGITE,41.41,0.79,0.58,47.01
HARZBURGITE,38.56,0.86,0.63,46.1422
HARZBURGITE,36.49,0.5,0.41,45.433
HARZBURGITE,37.46,0.03,0.76,46.21614
HARZBURGITE,46.1,1.2,2.7,47.5283
HARZBURGITE,34.61,0.08,0.68,46.402
HARZBURGITE,39.76,0.1,0.6,47.91
HARZBURGITE,40.5,0.78,0.71,46.74372
HARZBURGITE,34.14,0.02,0.85,47.10534
HARZBURGITE,35.53,0.35,0.19,45.67593
HARZBURGITE,38.7,0.62,0.64,45.96462
HARZBURGITE,36.01,0.66,0.47,46.21836
HARZBURGITE,37.1,0.79,0.47,46.46412
HARZBURGITE,35.9,0.31,0.35,46.06058
HARZBURGITE,42,1.95,1.06,47.14938
HARZBURGITE,37.37,0.29,0.3,45.74502
HARZBURGITE,37.09,0.58,0.63,45.86492
HARZBURGITE,45.5,1.62,2.72,48.71778
HARZBURGITE,37.57,0.55,0.77,46.55028
HARZBURGITE,41.52,0.06,0.71,47.65605
HARZBURGITE,36.81,0.06,0.6,46.0229
HARZBURGITE,41.8,2.21,2.22,47.46736
HARZBURGITE,35.12,0.08,0.21,46.36977
HARZBURGITE,36.84,0.63,0.45,46.98513
HARZBURGITE,38.66,0.74,0.77,46.42078
HARZBURGITE,36.78,0.05,0.47,46.60957
HARZBURGITE,37.76,0.69,0.54,46.65856
HARZBURGITE,37.8,0.46,0.68,46.62462
HARZBURGITE,37.75,0.03,0.65,46.31896
HARZBURGITE,37.58,0.51,0.54,46.63361
HARZBURGITE,38.35,0.53,0.49,46.91331
HARZBURGITE,38.62,0.79,0.66,47.01523
HARZBURGITE,37.48,0.2,0.61,46.48391
HARZBURGITE,33.64,0.07,0.2,46.45896
HARZBURGITE,37.11,0.03,0.55,46.62179
HARZBURGITE,36.41,0.43,0.41,46.72472
HARZBURGITE,34.46,0.22,0.21,47.11129
HARZBURGITE,40,0.81,0.68,47.49089
HARZBURGITE,37.84,0.03,0.64,46.55997
HARZBURGITE,40.32,0.84,0.79,47.13038
HARZBURGITE,41.9,1.76,1.84,47.95049
HARZBURGITE,37.45,0.03,0.57,46.72785
HARZBURGITE,32.18,0.32,0.25,47.67685
HARZBURGITE,37.82,0.5,0.59,47.18351
HARZBURGITE,36.97,0.03,0.54,46.9528
HARZBURGITE,40.9,1.49,0.93,48.5112
HARZBURGITE,38.78,1.03,0.76,47.34452
HARZBURGITE,37.93,0.39,0.7,47.33553
HARZBURGITE,37.52,0.24,0.53,47.45947
HARZBURGITE,42.7,2.07,1.91,48.44039
HARZBURGITE,40.2,0.86,0.72,47.53341
HARZBURGITE,39.54,0.71,0.88,47.53442
HARZBURGITE,41.7,1.72,1.58,48.63029
HARZBURGITE,39.04,0.65,0.62,47.82927
HARZBURGITE,35.53,0.18,0.25,47.92018
HARZBURGITE,39.61,0.8,0.69,48.24089
HARZBURGITE,41.9,1.21,1,48.7314
HARZBURGITE,34.82,0.03,0.34,47.7326
HARZBURGITE,29.39,0.14,0.57,48.44796
HARZBURGITE,29.13,0.16,0.29,49.57575
HARZBURGITE,39.7,0.46,0.78,48.77968
HARZBURGITE,35.45,0.36,0.28,48.03553
HARZBURGITE,40.5,0.95,0.72,48.8617
HARZBURGITE,45.2,0.8,0.7,48.8283
HARZBURGITE,36.81,0.33,0.19,48.2425
HARZBURGITE,40.7,1.37,0.86,49.54827
HARZBURGITE,38.61,0.23,0.17,48.55553
HARZBURGITE,38.81,0.54,0.59,48.92816
HARZBURGITE,34.37,0.13,0.11,49.3421
HARZBURGITE,45,1.51,2.03,50.31009
HARZBURGITE,43.73,3.72,0.87,50.50605
HARZBURGITE,40.2,0.35,0.37,49.30664
HARZBURGITE,43.4,0.94,0.82,50.42708
HARZBURGITE,45.38,0.84,1.71,50.89807
HARZBURGITE,40.7,0.6,0.47,50.05109
HARZBURGITE,38.09,0.13,0.1,49.93624
HARZBURGITE,42.7,1.04,0.72,50.41897
HARZBURGITE,44.69,0.89,1.72,51.5613
HARZBURGITE,43.6,0.95,0.52,52.08546
HARZBURGITE,44.14,0.21,1.39,53.11656
HARZBURGITE,41.6,0.56,0.29,52.6576
HARZBURGITE,43.8,0.38,0.78,52.64385
HARZBURGITE,43.4,0.91,0.25,53.56748
HARZBURGITE,41.7,0.8,1,53.48213
HARZBURGITE,43.9,0.14,0.44,52.9988
HARZBURGITE,42.57,1.11,0.94,54.24514
HARZBURGITE,40.26,0.04,0.59,57.79091
