Rock Type,TiO2,Al2O3,FeO,MnO,CaO
PERIDOTITE,2.53,13.41,4.86,0.02,0.01
PERIDOTITE,0.32,1.94,7.16,0.11,0.98
PERIDOTITE,0.38,21.05,8.01,0.26,4.64
PERIDOTITE,0.03,21.09,7.1,0.2,4.62
PERIDOTITE,0.7,3.46,4.34,0.12,16.92
PYROXENITE,4.98,13.48,8.11,0.01,0.1
PYROXENITE,0.8,2.81,6.32,0.08,17.96
PYROXENITE,4.47,13.85,7.67,0.03,0.0
PYROXENITE,0.31,2.08,8.23,0.11,1.3
PYROXENITE,0.73,22.05,9.7,0.26,4.9
PYROXENITE,0.62,3.46,5.06,0.11,17.23
PERIDOTITE,0.29,1.55,7.0,0.11,0.98
PERIDOTITE,0.67,18.54,8.36,0.31,5.8
PERIDOTITE,0.65,3.28,4.15,0.1,17.35
PERIDOTITE,0.35,1.65,6.27,0.13,0.98
PERIDOTITE,3.59,13.52,4.36,0.01,0.05
PERIDOTITE,0.31,22.16,8.76,0.39,4.58
PERIDOTITE,0.75,3.34,3.65,0.1,18.08
PERIDOTITE,0.16,1.47,5.33,0.12,0.8
PERIDOTITE,1.84,13.91,3.54,0.03,0.09
PERIDOTITE,0.29,2.29,2.73,0.08,19.76
PERIDOTITE,0.22,21.34,7.5,0.36,5.93
PERIDOTITE,0.27,1.6,5.44,0.1,0.88
PERIDOTITE,0.77,18.09,7.31,0.25,5.91
PERIDOTITE,0.62,3.12,3.07,0.08,17.1
PERIDOTITE,0.11,1.25,4.95,0.11,0.65
PERIDOTITE,2.14,14.43,3.88,0.01,0.08
PERIDOTITE,0.21,2.13,2.55,0.08,19.7
PERIDOTITE,0.23,1.94,7.72,0.0,1.1
PERIDOTITE,0.69,21.9,9.38,0.29,4.91
PERIDOTITE,0.59,3.66,5.14,0.1,16.16
PYROXENITE,0.26,2.35,7.68,0.16,1.5
PYROXENITE,0.74,22.39,9.03,0.29,5.11
PYROXENITE,0.47,3.63,5.1,0.13,16.41
PERIDOTITE,2.71,14.76,4.87,0.04,0.11
PERIDOTITE,0.3,1.48,9.26,0.12,1.06
PERIDOTITE,0.8,1.75,5.79,0.11,19.96
PERIDOTITE,3.55,13.3,7.18,0.03,0.08
PERIDOTITE,3.36,14.44,7.49,0.06,12.08
PERIDOTITE,3.29,16.95,7.74,0.03,0.06
PYROXENITE,0.21,1.52,11.0,0.13,0.97
PYROXENITE,3.39,13.73,7.6,0.03,0.1
PYROXENITE,0.52,3.58,6.47,0.13,17.42
PERIDOTITE,0.01,0.7,4.76,0.11,1.05
PERIDOTITE,0.63,1.19,3.2,0.09,20.02
PERIDOTITE,0.18,3.3,3.97,0.03,19.27
PERIDOTITE,0.78,3.28,3.65,0.05,23.03
PERIDOTITE,1.26,4.32,4.47,0.05,23.03
PERIDOTITE,2.57,9.34,8.02,0.05,22.88
PERIDOTITE,3.67,9.84,9.33,0.06,23.15
PERIDOTITE,0.62,4.47,4.76,0.3,23.33
PERIDOTITE,0.22,4.69,3.92,0.35,23.31
PERIDOTITE,0.86,5.51,4.04,0.07,23.74
PERIDOTITE,0.08,0.82,5.2,0.08,0.96
PERIDOTITE,0.29,1.19,5.01,0.09,1.43
PERIDOTITE,0.1,0.7,5.0,0.12,0.91
PERIDOTITE,0.89,1.56,3.34,0.02,22.12
PERIDOTITE,0.07,0.52,5.11,0.13,1.66
PERIDOTITE,0.45,0.71,2.92,0.09,20.01
PERIDOTITE,0.07,1.42,2.82,0.1,20.44
PERIDOTITE,0.89,1.87,2.82,0.06,22.9
PERIDOTITE,1.76,3.65,4.38,0.11,22.65
PERIDOTITE,0.03,1.28,1.55,0.05,23.44
PERIDOTITE,0.02,1.79,5.72,0.14,1.0
PERIDOTITE,0.02,1.83,5.7,0.12,1.02
PERIDOTITE,0.01,2.65,3.28,0.17,20.75
PERIDOTITE,0.08,5.03,3.3,0.16,20.29
PERIDOTITE,0.03,1.37,6.89,0.14,1.08
PERIDOTITE,0.97,2.84,4.83,0.11,20.99
PERIDOTITE,0.85,2.98,4.77,0.16,21.32
PERIDOTITE,3.33,11.0,5.06,0.07,23.14
PERIDOTITE,0.01,5.68,7.02,0.13,0.13
PERIDOTITE,4.59,8.64,2.69,0.07,22.88
PERIDOTITE,5.48,9.2,2.93,0.09,23.0
PERIDOTITE,0.78,5.39,2.89,0.09,23.45
PERIDOTITE,2.19,6.93,3.55,0.1,23.16
PERIDOTITE,0.04,0.25,4.91,0.17,0.94
PERIDOTITE,2.0,3.98,3.08,0.08,22.19
PERIDOTITE,3.31,5.87,2.91,0.11,23.12
PERIDOTITE,3.76,7.06,3.4,0.1,23.29
PERIDOTITE,0.29,1.47,2.77,0.1,22.17
PERIDOTITE,0.31,1.77,2.81,0.11,22.6
PERIDOTITE,0.38,3.27,3.16,0.02,23.48
PERIDOTITE,0.01,0.59,4.46,0.11,0.61
PERIDOTITE,0.56,1.06,2.96,0.11,20.7
PERIDOTITE,0.16,1.31,3.59,0.1,20.68
PERIDOTITE,1.61,2.98,4.05,0.11,20.54
PERIDOTITE,3.4,11.97,3.83,0.05,22.89
PERIDOTITE,0.31,3.66,2.14,0.07,23.07
PERIDOTITE,3.14,6.56,3.51,0.02,22.81
PERIDOTITE,0.02,1.27,5.76,0.17,0.82
PERIDOTITE,0.06,1.46,3.26,0.15,20.72
PERIDOTITE,0.12,1.59,2.74,0.07,21.02
PERIDOTITE,0.01,1.65,6.12,0.16,1.57
PERIDOTITE,0.01,1.75,5.7,0.16,1.03
PERIDOTITE,0.02,2.08,5.49,0.13,1.41
PERIDOTITE,1.01,3.35,2.63,0.1,23.82
PERIDOTITE,1.56,4.04,2.77,0.05,23.74
PERIDOTITE,4.21,8.9,3.86,0.03,23.48
PERIDOTITE,0.01,1.02,2.74,0.1,21.36
PERIDOTITE,0.01,1.37,5.43,0.13,0.89
PERIDOTITE,0.01,1.56,5.56,0.14,0.97
PERIDOTITE,0.36,2.49,2.96,0.11,20.39
PERIDOTITE,0.22,2.77,3.13,0.2,19.51
PERIDOTITE,0.01,1.16,5.81,0.18,0.42
PERIDOTITE,0.05,1.69,3.03,0.07,20.99
PERIDOTITE,0.01,2.17,5.8,0.16,1.23
PERIDOTITE,0.63,3.93,6.15,0.37,23.52
PERIDOTITE,0.46,6.66,6.8,0.33,20.8
PERIDOTITE,0.29,0.68,5.23,0.11,1.72
PERIDOTITE,0.52,0.97,3.09,0.11,20.13
PERIDOTITE,0.05,1.06,5.25,0.12,1.25
PERIDOTITE,0.07,1.13,4.96,0.11,1.28
PERIDOTITE,0.73,1.47,3.56,0.13,21.56
PERIDOTITE,1.0,1.77,2.98,0.14,20.78
PERIDOTITE,0.01,2.03,5.48,0.13,1.47
PERIDOTITE,2.49,3.86,4.2,0.12,20.78
PERIDOTITE,0.14,0.54,6.61,0.17,1.21
PERIDOTITE,0.12,0.74,4.42,0.07,1.31
PERIDOTITE,0.07,1.2,3.16,0.05,0.76
PERIDOTITE,0.02,1.55,3.88,0.06,0.74
PERIDOTITE,0.01,1.65,1.3,0.29,20.47
PERIDOTITE,0.01,1.75,2.28,0.01,0.38
PERIDOTITE,0.01,5.49,3.71,0.32,24.34
PERIDOTITE,0.03,1.02,3.09,0.02,20.33
PERIDOTITE,0.03,1.41,2.26,0.07,22.43
PERIDOTITE,0.02,1.46,5.53,0.13,0.87
PERIDOTITE,0.02,1.75,5.49,0.15,0.93
PYROXENITE,0.11,21.26,21.8,0.61,10.26
PYROXENITE,0.25,5.96,10.28,0.19,22.2
ECLOGITE,0.06,22.21,18.9,0.45,10.61
ECLOGITE,0.24,4.37,6.76,0.06,21.81
ECLOGITE,0.33,6.81,6.43,0.16,20.07
ECLOGITE,0.12,2.83,6.15,0.14,21.48
ECLOGITE,0.13,22.51,18.5,0.48,6.64
PYROXENITE,0.17,21.33,18.21,0.89,16.11
PYROXENITE,0.31,5.79,7.91,0.1,21.31
ECLOGITE,0.25,5.03,5.33,0.11,20.44
PYROXENITE,0.13,22.34,21.46,0.46,7.88
PYROXENITE,0.17,22.63,20.14,0.56,7.53
ECLOGITE,0.16,2.27,6.1,0.21,21.06
ECLOGITE,0.24,22.95,20.0,0.53,5.52
PYROXENITE,1.73,6.59,6.29,0.12,21.53
PYROXENITE,5.44,14.29,10.76,1.16,10.81
PYROXENITE,5.56,14.38,10.78,0.71,10.78
PYROXENITE,8.57,15.74,11.98,2.46,0.03
PYROXENITE,8.52,15.76,12.0,1.58,0.02
PYROXENITE,1.57,8.69,7.77,0.14,17.91
PYROXENITE,1.06,7.68,7.86,0.16,19.75
PYROXENITE,1.62,6.56,7.54,0.14,20.06
PYROXENITE,1.56,8.46,8.37,0.14,19.67
PYROXENITE,1.92,8.92,8.14,0.1,20.13
PERIDOTITE,0.01,0.02,9.92,0.12,0.12
PERIDOTITE,0.04,3.13,6.38,0.16,0.54
PERIDOTITE,0.05,3.19,6.41,0.18,0.5
PERIDOTITE,0.13,4.58,6.48,0.15,0.46
PERIDOTITE,0.34,5.94,2.67,0.08,22.1
PERIDOTITE,0.04,57.7,11.7,0.12,0.0
PERIDOTITE,0.41,6.09,2.61,0.08,22.21
PERIDOTITE,0.59,6.54,2.68,0.09,21.7
PERIDOTITE,0.02,0.02,8.68,0.17,0.16
PERIDOTITE,0.04,3.68,6.66,0.15,0.48
PERIDOTITE,0.19,4.46,2.83,0.07,22.2
PERIDOTITE,0.04,62.0,10.3,0.11,0.06
PERIDOTITE,0.01,0.02,10.1,0.13,0.12
PERIDOTITE,0.07,3.23,6.73,0.17,0.49
PERIDOTITE,0.06,3.4,6.8,0.19,0.48
PERIDOTITE,0.35,4.21,2.8,0.1,22.7
PERIDOTITE,0.17,4.91,6.79,0.16,0.46
PERIDOTITE,0.4,4.97,2.79,0.08,22.2
PERIDOTITE,0.53,5.35,2.75,0.09,22.57
PERIDOTITE,0.01,0.04,9.8,0.17,0.14
PERIDOTITE,0.07,3.87,6.42,0.17,0.63
PERIDOTITE,0.2,60.2,10.52,0.09,0.02
PERIDOTITE,0.7,7.17,3.7,0.11,20.3
PERIDOTITE,0.08,0.13,10.29,0.14,0.28
PERIDOTITE,0.3,1.2,9.99,0.14,1.18
PERIDOTITE,1.63,12.41,14.88,0.17,5.7
PERIDOTITE,0.13,5.1,6.74,0.14,0.93
PERIDOTITE,0.53,7.22,3.45,0.09,19.09
PERIDOTITE,2.18,8.78,6.95,0.15,17.37
PERIDOTITE,0.01,0.01,9.43,0.14,0.06
PERIDOTITE,0.13,4.73,5.91,0.15,0.77
PERIDOTITE,0.18,55.15,9.04,0.08,0.01
PERIDOTITE,0.51,6.71,2.86,0.13,19.1
PERIDOTITE,0.01,0.01,8.39,0.12,0.07
PERIDOTITE,0.17,2.59,5.35,0.13,0.97
PERIDOTITE,0.52,4.35,2.81,0.07,18.64
PERIDOTITE,0.01,0.03,9.93,0.14,0.05
PERIDOTITE,0.08,4.26,6.25,0.13,0.63
PERIDOTITE,0.39,6.1,2.84,0.1,20.66
PERIDOTITE,0.01,0.01,9.8,0.16,0.06
PERIDOTITE,0.11,4.07,6.2,0.13,0.62
PERIDOTITE,0.44,5.67,2.64,0.07,21.01
PERIDOTITE,0.11,54.5,8.9,0.16,0.01
PERIDOTITE,0.01,0.01,7.96,0.11,0.05
PERIDOTITE,0.01,2.07,4.98,0.11,1.03
PERIDOTITE,0.01,2.56,2.42,0.03,20.33
PERIDOTITE,0.05,2.01,5.13,0.12,1.07
PERIDOTITE,0.1,2.39,2.47,0.1,20.92
PERIDOTITE,0.3,20.72,11.46,0.25,0.01
PERIDOTITE,0.59,2.82,3.31,0.05,19.15
PERIDOTITE,0.28,25.4,0.48,0.05,8.01
PERIDOTITE,0.17,3.74,2.59,0.11,21.11
PERIDOTITE,0.01,0.03,9.42,0.13,0.06
PERIDOTITE,0.05,3.46,5.76,0.12,0.81
PERIDOTITE,0.17,4.17,2.68,0.08,21.0
PERIDOTITE,0.18,40.63,11.04,0.06,0.01
PERIDOTITE,0.01,0.01,11.61,0.18,0.05
PERIDOTITE,0.07,3.78,6.89,0.16,0.72
PERIDOTITE,0.41,6.28,3.02,0.1,18.63
PERIDOTITE,0.01,0.01,9.97,0.14,0.07
PERIDOTITE,0.02,1.67,5.73,0.13,1.04
PERIDOTITE,0.12,17.33,13.47,0.42,0.01
PERIDOTITE,0.04,2.52,2.87,0.09,19.57
PERIDOTITE,0.01,0.05,9.56,0.14,0.12
PERIDOTITE,0.11,5.48,5.92,0.13,1.27
PERIDOTITE,0.29,6.38,3.26,0.1,18.96
PERIDOTITE,0.07,3.61,6.01,0.13,0.64
PERIDOTITE,0.24,4.7,2.69,0.11,21.04
PERIDOTITE,0.14,46.32,10.55,0.21,0.01
PERIDOTITE,0.89,8.7,5.7,0.12,20.1
PERIDOTITE,0.04,1.5,5.5,0.1,0.87
PERIDOTITE,0.09,2.6,2.5,0.09,19.3
PYROXENITE,0.23,4.2,7.3,0.16,0.98
PYROXENITE,0.67,5.9,3.38,0.12,20.0
PERIDOTITE,0.07,3.2,6.5,0.13,0.83
PERIDOTITE,0.21,5.2,3.0,0.09,19.1
PYROXENITE,0.09,2.7,6.7,0.2,1.29
PYROXENITE,0.4,5.6,3.2,0.12,18.9
PERIDOTITE,1.2,13.8,4.5,0.06,9.7
PERIDOTITE,0.03,2.75,6.9,0.22,0.76
PERIDOTITE,0.38,5.6,3.3,0.12,18.2
PYROXENITE,0.17,3.1,5.8,0.14,1.19
PYROXENITE,0.35,4.9,3.0,0.09,19.7
PYROXENITE,0.11,4.3,8.7,0.19,1.14
PYROXENITE,0.18,4.4,8.3,0.17,1.11
PYROXENITE,0.17,4.4,8.4,0.17,1.0
PYROXENITE,0.46,5.4,3.9,0.14,21.1
PYROXENITE,0.46,5.4,4.0,0.1,21.1
PYROXENITE,0.36,5.8,4.2,0.12,20.6
PERIDOTITE,0.12,5.0,7.8,0.15,0.84
PERIDOTITE,0.61,7.5,3.9,0.11,19.3
PYROXENITE,0.09,3.5,6.0,0.16,1.27
PYROXENITE,0.45,6.0,2.86,0.11,19.2
PYROXENITE,2.69,8.9,4.3,0.13,20.6
PERIDOTITE,0.56,4.8,8.9,0.19,0.89
PERIDOTITE,2.11,8.0,4.3,0.13,20.3
PERIDOTITE,0.06,4.0,5.9,0.1,0.73
PERIDOTITE,0.14,5.2,2.6,0.07,20.1
PYROXENITE,0.4,6.1,12.2,0.18,0.87
PYROXENITE,1.42,8.6,6.5,0.13,19.3
PYROXENITE,0.34,5.5,14.9,0.26,1.17
PYROXENITE,1.57,8.7,7.0,0.17,19.6
PERIDOTITE,5.0,14.6,11.7,0.16,10.6
PYROXENITE,0.21,5.3,15.0,0.23,1.05
PYROXENITE,1.19,8.9,7.2,0.13,19.1
PYROXENITE,1.19,8.9,7.2,0.13,19.1
PERIDOTITE,0.07,2.9,9.8,0.23,1.02
PERIDOTITE,0.38,3.3,3.8,0.15,20.0
PERIDOTITE,0.25,6.0,4.5,0.13,17.1
PERIDOTITE,0.04,3.3,6.2,0.09,0.66
PERIDOTITE,0.22,6.2,2.88,0.05,19.5
PYROXENITE,0.14,4.2,7.0,0.12,0.9
PYROXENITE,0.55,5.5,2.8,0.07,19.9
PERIDOTITE,0.17,3.9,6.4,0.13,0.87
PERIDOTITE,0.71,7.2,2.8,0.06,20.3
PYROXENITE,0.29,4.2,12.8,0.2,0.77
PYROXENITE,1.68,8.5,6.1,0.2,19.8
PERIDOTITE,0.08,5.11,5.19,0.11,0.91
PERIDOTITE,0.09,58.79,8.49,0.02,0.01
PERIDOTITE,0.49,7.42,1.83,0.09,19.58
PERIDOTITE,0.02,0.09,9.39,0.12,0.08
PERIDOTITE,0.06,5.36,2.51,0.11,0.92
PERIDOTITE,0.09,57.2,8.42,0.09,0.03
PERIDOTITE,0.45,7.09,1.28,0.07,17.86
PERIDOTITE,0.12,3.26,5.83,0.17,0.85
PERIDOTITE,0.16,38.11,11.9,0.13,0.02
PERIDOTITE,0.2,4.33,1.69,0.02,21.19
PERIDOTITE,0.06,4.11,3.48,0.18,0.94
PERIDOTITE,0.18,5.15,1.09,0.06,20.78
PERIDOTITE,0.13,3.6,5.1,0.15,0.75
PERIDOTITE,0.35,5.25,1.16,0.05,20.08
PERIDOTITE,0.15,3.92,6.0,0.12,0.97
PERIDOTITE,0.56,5.45,0.53,0.08,20.5
PERIDOTITE,0.01,0.03,8.98,0.1,0.08
PERIDOTITE,0.09,3.03,5.56,0.08,0.81
PERIDOTITE,0.18,4.49,2.15,0.05,20.52
PERIDOTITE,0.05,0.04,9.72,0.18,0.07
PERIDOTITE,0.01,3.08,4.9,0.11,0.82
PERIDOTITE,0.36,4.11,1.72,0.14,20.84
PERIDOTITE,0.02,0.03,10.3,0.19,0.06
PERIDOTITE,0.11,5.05,6.35,0.13,0.85
PERIDOTITE,0.53,6.91,2.19,0.11,19.87
PERIDOTITE,0.13,2.96,5.14,0.12,0.84
PERIDOTITE,0.27,3.91,0.97,0.11,21.61
PERIDOTITE,0.18,37.17,11.7,0.13,0.01
PERIDOTITE,0.04,0.05,10.63,0.13,0.06
PERIDOTITE,0.17,4.93,6.01,0.12,0.8
PERIDOTITE,0.2,3.9,7.0,0.19,0.97
PERIDOTITE,0.47,5.38,1.72,0.1,20.66
PERIDOTITE,0.02,0.01,8.73,0.12,0.09
PERIDOTITE,0.08,3.23,0.63,0.05,21.85
PERIDOTITE,0.13,4.55,5.47,0.14,0.77
PERIDOTITE,0.49,5.96,2.47,0.04,20.76
PERIDOTITE,0.05,3.41,5.42,0.2,0.81
PERIDOTITE,0.25,4.48,1.03,0.05,21.36
PERIDOTITE,0.24,41.88,12.48,0.11,0.01
PERIDOTITE,0.01,0.05,10.08,0.14,0.08
PERIDOTITE,0.08,5.03,4.92,0.17,0.88
PERIDOTITE,0.19,58.86,9.27,0.06,0.01
PERIDOTITE,0.51,6.74,1.83,0.11,20.0
PERIDOTITE,0.09,4.62,6.14,0.22,0.94
PERIDOTITE,0.49,6.09,1.95,0.11,20.46
PERIDOTITE,0.03,0.03,9.0,0.13,0.11
PERIDOTITE,0.01,4.43,4.17,0.16,1.06
PERIDOTITE,0.21,5.72,2.9,0.05,19.63
PERIDOTITE,0.14,4.59,6.53,0.13,0.8
PERIDOTITE,0.55,6.1,2.74,0.09,20.79
PERIDOTITE,0.03,2.54,4.15,0.16,0.95
PERIDOTITE,0.07,5.09,5.49,0.1,0.87
PERIDOTITE,0.1,58.87,8.81,0.12,0.02
PERIDOTITE,0.5,6.88,2.96,0.05,19.99
PERIDOTITE,0.14,3.84,5.16,0.17,0.87
PERIDOTITE,0.41,5.09,1.17,0.04,20.97
PERIDOTITE,0.08,4.15,6.88,0.13,0.48
PERIDOTITE,0.56,6.22,3.0,0.13,20.92
PERIDOTITE,0.01,0.01,7.85,0.08,0.03
PERIDOTITE,0.01,0.01,7.91,0.08,0.03
PERIDOTITE,0.01,0.01,7.99,0.09,0.03
PERIDOTITE,0.01,0.01,8.06,0.1,0.03
PERIDOTITE,0.07,0.67,4.72,0.12,0.51
PERIDOTITE,0.07,0.67,4.73,0.1,0.51
PERIDOTITE,0.07,0.67,4.74,0.11,0.51
PERIDOTITE,0.07,0.67,4.8,0.11,0.52
PERIDOTITE,0.07,0.67,4.83,0.1,0.51
PERIDOTITE,0.07,0.67,5.01,0.1,0.51
PERIDOTITE,0.07,0.68,4.69,0.1,0.5
PERIDOTITE,0.07,0.68,4.8,0.08,0.52
PERIDOTITE,0.07,0.68,4.94,0.11,0.51
PERIDOTITE,0.07,0.68,4.96,0.1,0.51
PERIDOTITE,0.07,0.69,4.74,0.11,0.51
PERIDOTITE,0.17,2.87,2.34,0.1,18.34
PERIDOTITE,0.17,2.91,2.32,0.09,18.16
PERIDOTITE,0.17,2.91,2.39,0.08,18.32
PERIDOTITE,0.16,2.92,2.3,0.09,18.23
PERIDOTITE,0.17,2.92,2.34,0.07,18.26
PERIDOTITE,0.17,2.92,2.35,0.07,18.19
PERIDOTITE,0.17,2.92,2.35,0.07,18.21
PERIDOTITE,0.16,2.92,2.36,0.07,18.31
PERIDOTITE,0.17,2.93,2.31,0.1,18.12
PERIDOTITE,0.17,2.93,2.34,0.09,18.28
PERIDOTITE,0.17,2.93,2.39,0.08,18.09
PERIDOTITE,0.17,2.93,2.41,0.07,18.52
PERIDOTITE,0.25,20.91,7.17,0.32,4.27
PERIDOTITE,0.25,20.92,7.22,0.36,4.4
PERIDOTITE,0.26,20.96,7.23,0.33,4.29
PERIDOTITE,0.26,21.09,7.15,0.3,4.3
PERIDOTITE,0.26,21.1,7.22,0.33,4.29
PERIDOTITE,0.26,21.12,7.26,0.31,4.24
PERIDOTITE,0.27,21.18,7.14,0.33,4.29
PERIDOTITE,0.27,21.25,7.13,0.33,4.3
PERIDOTITE,0.01,0.01,7.96,0.09,0.03
PERIDOTITE,0.01,0.01,8.04,0.11,0.02
PERIDOTITE,0.01,0.01,8.07,0.09,0.03
PERIDOTITE,0.01,0.01,8.15,0.11,0.02
PERIDOTITE,0.07,0.66,4.94,0.11,0.51
PERIDOTITE,0.07,0.66,4.96,0.12,0.51
PERIDOTITE,0.06,0.67,4.7,0.09,0.51
PERIDOTITE,0.06,0.67,4.72,0.1,0.51
PERIDOTITE,0.05,0.67,4.76,0.12,0.52
PERIDOTITE,0.07,0.67,4.86,0.1,0.5
PERIDOTITE,0.07,0.67,5.08,0.12,0.51
PERIDOTITE,0.06,0.68,4.75,0.12,0.51
PERIDOTITE,0.06,0.68,4.77,0.11,0.51
PERIDOTITE,0.06,0.68,4.79,0.09,0.51
PERIDOTITE,0.06,0.68,4.84,0.12,0.51
PERIDOTITE,0.06,0.68,4.88,0.12,0.52
PERIDOTITE,0.06,0.69,4.98,0.11,0.5
PERIDOTITE,0.07,0.7,4.59,0.11,0.5
PERIDOTITE,0.17,2.91,2.36,0.07,18.26
PERIDOTITE,0.17,2.92,2.38,0.08,18.13
PERIDOTITE,0.17,2.93,2.37,0.07,18.06
PERIDOTITE,0.17,2.93,2.37,0.09,18.12
PERIDOTITE,0.17,2.93,2.39,0.08,18.13
PERIDOTITE,0.17,2.93,2.4,0.08,18.16
PERIDOTITE,0.17,2.93,2.42,0.07,18.31
PERIDOTITE,0.16,2.93,2.42,0.08,18.25
PERIDOTITE,0.17,2.94,2.35,0.08,18.08
PERIDOTITE,0.17,2.94,2.35,0.08,18.14
PERIDOTITE,0.17,2.94,2.37,0.07,18.12
PERIDOTITE,0.16,2.94,2.39,0.1,18.14
PERIDOTITE,0.17,2.94,2.4,0.08,18.27
PERIDOTITE,0.17,2.95,2.41,0.09,18.19
PERIDOTITE,0.26,20.91,7.35,0.31,4.32
PERIDOTITE,0.25,20.99,7.19,0.31,4.35
PERIDOTITE,0.26,21.05,7.23,0.35,4.25
PERIDOTITE,0.25,21.13,7.18,0.34,4.31
PERIDOTITE,0.26,21.43,7.3,0.3,4.3
PERIDOTITE,0.26,21.46,7.25,0.33,4.23
PERIDOTITE,0.01,0.01,7.56,0.11,0.03
PERIDOTITE,0.01,0.52,4.27,0.1,0.67
PERIDOTITE,0.01,0.52,4.3,0.13,0.67
PERIDOTITE,0.01,0.52,4.44,0.11,0.68
PERIDOTITE,0.01,0.52,4.49,0.1,0.67
PERIDOTITE,0.01,0.52,4.49,0.11,0.68
PERIDOTITE,0.01,0.53,4.7,0.11,0.67
PERIDOTITE,0.08,16.58,6.48,0.31,6.23
PERIDOTITE,0.09,16.64,6.45,0.31,6.31
PERIDOTITE,0.09,16.78,6.59,0.36,6.31
PERIDOTITE,0.09,16.84,6.46,0.33,6.28
PERIDOTITE,0.09,17.06,6.48,0.33,6.22
PERIDOTITE,0.08,17.43,6.54,0.34,6.26
PERIDOTITE,0.02,0.01,7.32,0.1,0.03
PERIDOTITE,0.01,0.01,7.36,0.1,0.04
PERIDOTITE,0.02,0.01,7.44,0.11,0.03
PERIDOTITE,0.01,0.01,7.48,0.09,0.04
PERIDOTITE,0.02,0.01,7.53,0.08,0.04
PERIDOTITE,0.01,0.01,7.54,0.1,0.03
PERIDOTITE,0.01,0.01,7.59,0.11,0.04
PERIDOTITE,0.01,0.01,7.71,0.1,0.03
PERIDOTITE,0.01,0.01,7.71,0.11,0.03
PERIDOTITE,0.01,0.02,7.34,0.12,0.03
PERIDOTITE,0.59,15.86,6.52,0.34,6.23
PERIDOTITE,0.57,15.88,6.57,0.34,6.22
PERIDOTITE,0.06,0.67,4.65,0.11,0.51
PERIDOTITE,0.07,0.67,4.85,0.11,0.51
PERIDOTITE,0.07,0.68,4.73,0.11,0.51
PERIDOTITE,0.06,0.68,4.95,0.12,0.52
PERIDOTITE,0.07,0.69,4.92,0.12,0.51
PERIDOTITE,0.16,2.87,2.37,0.07,18.36
PERIDOTITE,0.17,2.91,2.34,0.07,18.21
PERIDOTITE,0.17,2.91,2.36,0.1,18.2
PERIDOTITE,0.18,2.93,2.4,0.1,18.35
PERIDOTITE,0.26,20.94,7.39,0.34,4.41
PERIDOTITE,0.27,20.95,7.23,0.33,4.34
PERIDOTITE,0.25,21.21,7.29,0.34,4.32
PERIDOTITE,0.26,21.57,7.28,0.34,4.3
PERIDOTITE,0.03,0.58,4.78,0.12,0.66
PERIDOTITE,0.03,0.59,4.45,0.11,0.67
PERIDOTITE,0.03,0.59,4.52,0.1,0.66
PERIDOTITE,0.2,19.31,6.61,0.32,5.31
PERIDOTITE,0.19,19.32,6.63,0.33,5.28
PERIDOTITE,0.2,19.43,6.62,0.32,5.18
PERIDOTITE,0.2,19.45,6.69,0.33,5.3
PERIDOTITE,0.19,19.46,6.65,0.33,5.23
PERIDOTITE,0.19,19.61,6.62,0.33,5.18
PERIDOTITE,0.03,0.54,4.4,0.13,0.77
PERIDOTITE,0.03,0.54,4.51,0.12,0.71
PERIDOTITE,0.03,0.54,4.52,0.11,0.71
PERIDOTITE,0.03,0.55,4.6,0.11,0.72
PERIDOTITE,0.03,0.55,4.63,0.1,0.71
PERIDOTITE,0.03,0.56,4.71,0.12,0.7
PERIDOTITE,0.05,1.48,2.23,0.09,19.56
PERIDOTITE,0.06,1.48,2.24,0.1,19.33
PERIDOTITE,0.06,1.48,2.26,0.08,19.53
PERIDOTITE,0.06,1.48,2.27,0.1,19.37
PERIDOTITE,0.05,1.48,2.28,0.08,19.25
PERIDOTITE,0.06,1.48,2.29,0.1,19.47
PERIDOTITE,0.05,1.49,2.26,0.1,19.46
PERIDOTITE,0.05,1.49,2.27,0.08,19.45
PERIDOTITE,0.06,1.49,2.31,0.09,19.49
PERIDOTITE,0.05,1.49,2.35,0.1,19.2
PERIDOTITE,0.05,1.5,2.3,0.1,19.44
PERIDOTITE,0.23,18.27,6.65,0.35,5.52
PERIDOTITE,0.25,18.33,6.59,0.3,5.56
PERIDOTITE,0.22,18.42,6.61,0.29,5.44
PERIDOTITE,0.23,18.47,6.65,0.32,5.49
PERIDOTITE,0.23,18.55,6.56,0.33,5.48
PERIDOTITE,0.23,18.61,6.66,0.31,5.51
PERIDOTITE,0.23,18.71,6.58,0.34,5.46
PERIDOTITE,0.24,18.72,6.65,0.32,5.51
PERIDOTITE,0.22,18.78,6.65,0.33,5.42
PERIDOTITE,0.01,0.01,7.88,0.09,0.04
PERIDOTITE,0.01,0.01,7.89,0.1,0.03
PERIDOTITE,0.01,0.01,8.0,0.12,0.03
PERIDOTITE,0.01,0.01,8.09,0.1,0.03
PERIDOTITE,0.01,0.01,8.1,0.09,0.04
PERIDOTITE,0.01,0.01,8.11,0.1,0.03
PERIDOTITE,0.01,0.01,8.11,0.12,0.03
PERIDOTITE,0.01,0.01,8.14,0.11,0.03
PERIDOTITE,0.01,0.01,8.27,0.12,0.04
PERIDOTITE,0.07,0.59,5.01,0.14,0.66
