Rock Type,TiO2,Al2O3,FeO,MnO,CaO
PERIDOTITE,0.08,4.05,6.52,0.2,0.56
PERIDOTITE,0.1,4.41,6.6,0.14,0.66
PERIDOTITE,0.06,3.63,5.95,0.17,0.56
PERIDOTITE,0.03,3.56,6.1,0.14,0.49
PERIDOTITE,0.05,3.3,6.21,0.14,0.51
PERIDOTITE,0.09,4.62,6.54,0.15,0.67
PERIDOTITE,0.12,4.48,6.17,0.15,0.67
PERIDOTITE,0.09,3.98,6.62,0.15,0.55
PERIDOTITE,0.1,4.46,6.2,0.13,0.65
PERIDOTITE,0.01,3.36,5.97,0.16,0.43
PERIDOTITE,0.09,4.0,6.03,0.16,0.4
PERIDOTITE,0.06,3.74,6.14,0.14,0.52
PERIDOTITE,0.05,3.99,6.46,0.14,0.39
PERIDOTITE,0.08,4.4,6.51,0.19,0.75
PERIDOTITE,0.09,4.16,6.04,0.11,0.66
PERIDOTITE,0.09,4.24,6.45,0.16,0.88
PERIDOTITE,0.08,3.56,6.23,0.15,0.51
PERIDOTITE,0.07,3.17,6.15,0.13,0.5
PERIDOTITE,0.07,3.56,5.72,0.13,0.49
PERIDOTITE,0.13,4.85,6.23,0.16,0.61
PERIDOTITE,0.02,3.22,5.81,0.12,0.57
PERIDOTITE,0.82,1.53,2.56,0.1,19.8
PERIDOTITE,0.04,0.02,12.4,0.18,0.07
PERIDOTITE,57.6,0.07,0.91,0.01,39.5
PERIDOTITE,2.59,1.58,4.74,0.06,24.2
PERIDOTITE,4.85,13.5,11.8,0.05,2.06
PERIDOTITE,0.03,0.02,9.07,0.14,0.08
PERIDOTITE,0.06,0.04,7.56,0.15,0.25
PERIDOTITE,0.26,1.17,5.51,0.14,0.97
PERIDOTITE,2.26,1.42,3.3,0.1,23.0
PERIDOTITE,3.17,17.1,1.53,0.05,1.94
PERIDOTITE,3.34,17.1,1.62,0.25,3.83
PERIDOTITE,4.06,3.59,4.17,0.11,23.7
PERIDOTITE,0.05,0.03,6.71,0.13,0.2
PERIDOTITE,0.08,0.05,6.32,0.11,0.22
PERIDOTITE,0.08,0.06,8.66,0.16,0.21
PERIDOTITE,0.22,0.67,5.0,0.14,0.75
PERIDOTITE,0.28,0.86,5.16,0.15,0.78
PERIDOTITE,0.23,1.1,4.1,0.17,18.6
PERIDOTITE,0.78,1.39,2.66,0.06,22.1
PERIDOTITE,0.94,1.41,3.49,0.11,20.9
PERIDOTITE,4.27,13.6,7.78,0.17,4.65
PERIDOTITE,3.27,13.9,4.24,0.11,1.02
PERIDOTITE,0.52,17.9,2.1,0.04,4.36
PERIDOTITE,1.83,2.0,4.08,0.14,22.5
PERIDOTITE,0.05,0.03,9.63,0.16,0.24
PERIDOTITE,0.01,0.04,8.97,0.16,0.07
PERIDOTITE,0.03,0.06,7.17,0.09,0.12
PERIDOTITE,0.01,0.06,7.5,0.11,0.13
PERIDOTITE,0.06,0.06,8.92,0.12,0.17
PERIDOTITE,0.1,1.38,5.15,0.15,0.56
PERIDOTITE,2.77,15.4,2.61,0.03,1.51
PERIDOTITE,0.79,15.5,3.16,0.02,1.72
PERIDOTITE,2.73,19.7,1.17,0.08,6.07
PERIDOTITE,3.91,2.82,4.4,0.11,22.8
PERIDOTITE,0.62,3.1,3.89,0.14,17.2
PERIDOTITE,1.59,7.91,11.3,0.22,1.35
PERIDOTITE,0.02,0.03,11.9,0.15,0.04
PERIDOTITE,0.42,1.33,3.43,0.12,21.7
PERIDOTITE,0.22,1.54,7.45,0.16,0.67
PERIDOTITE,0.43,2.79,3.57,0.11,20.0
PERIDOTITE,0.07,0.56,4.67,0.11,0.47
PERIDOTITE,0.1,0.65,4.65,0.12,0.29
PERIDOTITE,0.02,0.75,4.01,0.13,0.35
PERIDOTITE,0.01,0.95,4.49,0.11,0.33
PERIDOTITE,0.23,1.11,5.43,0.14,1.73
PERIDOTITE,0.24,1.17,5.14,0.16,1.74
PERIDOTITE,0.15,0.77,5.35,0.13,0.8
PERIDOTITE,0.12,0.84,4.28,0.11,0.68
PERIDOTITE,0.13,0.75,4.65,0.11,0.64
PERIDOTITE,0.02,0.93,4.32,0.13,1.05
PERIDOTITE,0.15,0.88,4.45,0.1,1.14
PERIDOTITE,0.07,3.78,2.15,0.04,17.7
PERIDOTITE,0.01,0.71,4.01,0.12,0.42
PERIDOTITE,0.07,0.66,4.74,0.1,0.4
PERIDOTITE,0.16,0.76,4.84,0.12,0.69
PERIDOTITE,0.02,2.71,4.32,0.1,1.21
PERIDOTITE,0.01,0.76,4.01,0.09,0.47
PERIDOTITE,0.02,20.03,6.31,0.34,5.04
PERIDOTITE,0.04,0.83,4.63,0.1,0.64
PERIDOTITE,0.02,1.78,2.21,0.06,20.62
PERIDOTITE,0.01,0.71,4.03,0.1,0.49
PERIDOTITE,0.08,3.46,1.96,0.04,17.61
PERIDOTITE,0.03,0.88,4.6,0.1,0.56
PERIDOTITE,0.09,20.72,7.0,0.35,4.71
PERIDOTITE,0.08,0.05,4.77,0.14,0.34
PERIDOTITE,0.13,0.35,2.17,0.07,21.66
PERIDOTITE,0.07,0.22,5.17,0.14,0.28
PERIDOTITE,0.17,2.15,2.32,0.06,21.07
PERIDOTITE,0.07,21.56,8.15,0.45,4.83
PERIDOTITE,0.02,21.12,6.27,0.28,4.84
PERIDOTITE,0.52,19.78,7.33,0.38,5.11
PERIDOTITE,0.29,2.4,2.51,0.09,19.08
PERIDOTITE,0.01,19.66,6.42,0.32,5.29
PERIDOTITE,0.01,0.74,4.65,0.08,0.57
PERIDOTITE,0.02,1.6,2.12,0.07,21.1
PERIDOTITE,0.1,1.07,5.7,0.11,1.54
PERIDOTITE,0.21,2.32,3.84,0.12,16.02
PERIDOTITE,0.27,0.99,4.72,0.12,1.39
PERIDOTITE,0.07,1.96,1.75,0.03,23.24
PERIDOTITE,0.13,0.92,4.83,0.1,0.95
PYROXENITE,1.1,7.22,6.4,0.02,20.6
PYROXENITE,1.2,7.0,5.8,0.2,21.2
PYROXENITE,1.0,7.87,5.43,0.15,20.19
PERIDOTITE,0.04,0.07,7.06,0.24,0.1
PYROXENITE,0.39,3.57,8.17,0.16,21.07
PYROXENITE,0.04,1.7,3.87,0.14,23.36
PYROXENITE,0.27,1.4,4.84,0.12,23.28
PERIDOTITE,0.12,1.33,4.8,0.16,22.51
PYROXENITE,0.14,0.99,6.49,0.27,22.11
PYROXENITE,0.1,0.93,5.9,0.22,22.33
PYROXENITE,0.15,1.37,5.54,0.19,22.98
PYROXENITE,0.24,1.83,6.79,0.23,22.46
PERIDOTITE,0.27,1.15,5.45,0.17,22.59
PERIDOTITE,0.14,0.69,2.93,0.09,23.47
PERIDOTITE,0.12,1.09,3.16,0.13,22.15
PERIDOTITE,0.02,0.28,2.06,0.1,22.96
PERIDOTITE,0.11,1.31,2.31,0.1,21.84
PERIDOTITE,0.12,1.06,2.95,0.12,22.35
PYROXENITE,0.2,1.43,5.65,0.18,22.57
PERIDOTITE,0.04,0.48,2.28,0.1,22.25
PYROXENITE,0.3,1.98,8.36,0.11,1.3
PYROXENITE,0.74,22.09,10.06,0.28,4.78
PYROXENITE,0.66,3.45,5.33,0.11,16.85
PERIDOTITE,0.32,1.96,8.02,0.12,1.26
PERIDOTITE,0.69,21.96,10.1,0.26,4.8
PERIDOTITE,0.64,3.4,5.37,0.12,16.72
PERIDOTITE,0.03,1.23,4.7,0.08,0.77
