ROCK NAME,LATITUDE,LONGITUDE,SIO2,MGO
PERIDOTITE,69.42,30.6,42.24,34.61
PERIDOTITE,69.4,30.0,41.92,20.6
PERIDOTITE,69.4,30.0,18.58,17.25
PERIDOTITE,69.42,30.32,37.17,30.96
PERIDOTITE,69.3,29.8,36.15,32.36
PERIDOTITE,69.39,30.83,39.47,22.95
PERIDOTITE,69.42,30.6,33.8,23.3
PERIDOTITE,69.42,30.6,36.9,26.7
PERIDOTITE,68.93,29.95,38.59,25.01
PERIDOTITE,68.93,29.95,23.72,20.75
PERIDOTITE,68.93,29.95,34.78,30.36
PERIDOTITE,68.93,29.95,22.0,19.44
PERIDOTITE,68.93,29.95,39.12,24.14
DUNITE,50.7,14.92,33.11,24.37
LHERZOLITE,69.3962,30.6087,41.86,17.52
PERIDOTITE,69.3962,30.6087,37.85,26.17
LHERZOLITE,69.3962,30.6087,43.47,18.38
LHERZOLITE,69.3962,30.6087,42.99,18.12
PERIDOTITE,48.78,-85.03,39.19,26.87
PERIDOTITE,48.78,-85.03,38.89,28.4
DUNITE,3.0,-78.32,41.88,35.41
WEHRLITE,3.0,-78.32,43.03,29.63
PERIDOTITE,-43.5,170.0,38.4,12.79
PERIDOTITE,-43.5,170.0,35.0,18.4
PERIDOTITE,-43.5,170.0,33.6,11.9
PERIDOTITE,-43.5,170.0,37.7,12.6
WEHRLITE,64.3047,29.0505,34.44,30.44
WEHRLITE,64.304,29.0531,38.92,32.77
WEHRLITE,64.3038,29.0545,40.69,34.2
WEHRLITE,64.2753,29.0678,43.17,26.45
WEHRLITE,64.2728,29.0764,46.5,21.6
WEHRLITE,64.2487,29.0291,40.74,32.15
WEHRLITE,64.2486,29.0291,41.92,28.91
WEHRLITE,64.2486,29.0294,41.56,27.77
WEHRLITE,64.2484,29.0295,45.37,25.54
WEHRLITE,64.2483,29.0303,40.6,28.8
WEHRLITE,64.2482,29.0305,42.7,26.66
WEHRLITE,64.2481,29.0305,42.56,26.21
WEHRLITE,64.248,29.0306,42.63,26.6
WEHRLITE,64.2478,29.0489,40.28,32.26
WEHRLITE,64.237,29.0854,36.72,32.3
WEHRLITE,64.2842,29.0835,36.66,30.35
WEHRLITE,64.2371,29.0856,40.0,32.6
WEHRLITE,64.2378,29.0841,32.33,31.83
WEHRLITE,64.2434,29.0248,35.3,34.9
WEHRLITE,64.2453,29.0244,38.95,34.29
WEHRLITE,64.2469,29.0291,40.77,29.47
WEHRLITE,64.2467,29.0411,37.59,36.69
WEHRLITE,64.2488,29.0298,40.83,28.25
DUNITE,64.2495,29.038,34.08,39.82
WEHRLITE,64.2506,29.0525,40.56,32.24
DUNITE,64.2626,29.0455,37.62,38.97
DUNITE,64.2722,29.0462,38.96,37.35
DUNITE,64.2724,29.0509,36.0,37.08
WEHRLITE,64.2721,29.0594,42.06,31.52
WEHRLITE,64.275,29.0612,44.45,29.52
DUNITE,64.2757,29.0532,39.84,36.7
WEHRLITE,64.2773,29.0588,39.83,32.49
WEHRLITE,64.2825,29.0546,43.29,26.31
DUNITE,64.2855,29.0582,38.99,35.78
DUNITE,64.2887,29.0617,36.64,37.29
DUNITE,64.2913,29.0773,39.37,34.14
DUNITE,64.2934,29.0698,36.75,37.0
DUNITE,64.2581,29.0457,35.8,38.95
DUNITE,64.251,29.0969,29.99,36.96
DUNITE,64.2504,29.0782,37.58,35.57
WEHRLITE,64.2532,29.0568,41.03,31.8
DUNITE,64.2578,29.0493,37.11,39.66
WEHRLITE,64.2546,29.0646,42.32,26.49
DUNITE,64.2566,29.0618,36.56,37.52
DUNITE,64.2597,29.0567,34.02,39.26
WEHRLITE,64.2654,29.0562,39.47,34.0
DUNITE,64.2687,29.0667,37.84,37.48
DUNITE,64.2594,29.1007,39.26,36.75
WEHRLITE,64.26,29.1103,46.7,23.6
WEHRLITE,64.2621,29.1106,47.7,17.9
WEHRLITE,64.2641,29.1149,38.54,35.06
DUNITE,64.2659,29.093000000000004,38.78,34.91
WEHRLITE,64.2704,29.0712,40.75,33.13
DUNITE,64.2703,29.0917,36.81,39.1
WEHRLITE,64.2725,29.0906,43.45,31.25
WEHRLITE,64.2731,29.0762,41.39,27.46
WEHRLITE,64.2763,29.0734,38.23,32.24
WEHRLITE,64.278,29.0765,38.88,32.52
WEHRLITE,64.2776,29.0933,43.27,29.03
DUNITE,64.2747,29.1106,34.31,34.54
WEHRLITE,64.2774,29.1116,40.43,32.18
WEHRLITE,64.2794,29.1178,41.53,29.4
DUNITE,64.2823,29.1157,37.03,37.52
DUNITE,64.2847,29.1086,35.79,38.2
WEHRLITE,64.2822,29.0869,46.2,23.9
WEHRLITE,64.2701,29.1086,48.9,17.0
WEHRLITE,64.2847,29.0844,47.3,17.9
WEHRLITE,64.2495,29.0811,41.52,29.38
WEHRLITE,64.2501,29.1086,41.06,30.3
WEHRLITE,64.3049,29.0498,39.15,33.02
DUNITE,66.5276,29.2508,33.9,33.9
PERIDOTITE,63.1283,-50.6125,48.6,19.4
PERIDOTITE,63.1289,-50.6103,45.7,25.6
PERIDOTITE,63.1383,-50.6133,46.2,19.9
PERIDOTITE,63.1286,-50.6117,41.5,33.2
PERIDOTITE,63.1289,-50.6111,45.2,27.1
PERIDOTITE,63.0051,49.4751,44.3,27.1
PERIDOTITE,63.1289,-50.6103,52.0,21.1
PERIDOTITE,63.1367,-50.6144,44.9,21.5
PERIDOTITE,63.1283,-50.6125,41.5,33.4
DUNITE,72.0,101.0,41.21,46.46
DUNITE,72.0,101.0,40.78,45.78
DUNITE,72.0,101.0,39.09,44.44
PERIDOTITE,-3.85,-32.42,44.9,10.45
WEHRLITE,-33.6472,147.408,47.55,15.38
