ROCK NAME,SIO2,TIO2,AL2O3,CAO
HARZBURGITE,43.92,0.01,0.56,0.53
HARZBURGITE,44.3,0.02,1.3,1.9
HARZBURGITE,39.8,0.04,2.18,2
HARZBURGITE,41.7,0.04,2.28,2.86
HARZBURGITE,42.7,0.03,1.91,2.07
HARZBURGITE,41.8,0.04,2.22,2.21
HARZBURGITE,41.7,0.03,2,2.09
HARZBURGITE,41.9,0.03,1.84,1.76
HARZBURGITE,41.7,0.02,1.58,1.72
HARZBURGITE,43.4,0.02,0.25,0.91
HARZBURGITE,43.6,0.03,0.52,0.95
HARZBURGITE,43.4,0.02,0.82,0.94
HARZBURGITE,41.6,0.09,0.29,0.56
HARZBURGITE,41.7,0.03,1,0.8
HARZBURGITE,45.2,0.03,0.7,0.8
HARZBURGITE,46.1,0.01,2.7,1.2
HARZBURGITE,43.8,0.026,0.78,0.38
HARZBURGITE,43.9,0.024,0.44,0.14
HARZBURGITE,40.1,0.1,0.69,1.23
HARZBURGITE,41.41,0.02,0.58,0.79
HARZBURGITE,42.43,0.02,0.53,0.2
HARZBURGITE,39.91,0.04,1.22,0.42
HARZBURGITE,39.91,0.04,1.22,0.42
HARZBURGITE,39.91,0.04,1.22,0.42
HARZBURGITE,39.63,0.02,0.76,2.92
HARZBURGITE,38.47,0.15,1.22,0.42
HARZBURGITE,38.21,0.08,2.15,0.82
HARZBURGITE,39.86,0.1,1.36,0.77
HARZBURGITE,39.22,0.08,2.36,0.63
HARZBURGITE,39.2,0.1,2.53,0.58
HARZBURGITE,39.1,0.15,1.86,0.35
HARZBURGITE,37.84,0.12,1.43,1.5
HARZBURGITE,39.26,0.15,1.44,1.12
HARZBURGITE,39.74,0.2,1.86,0.58
HARZBURGITE,38.52,0.54,1.02,0.6
HARZBURGITE,41.9,0.15,1.18,1.4
HARZBURGITE,41.7,0.09,1.7,1.46
HARZBURGITE,39.82,0.58,2.62,2.6
HARZBURGITE,39.94,0.17,2.48,2.04
HARZBURGITE,39.77,0.1,3.14,0.41
HARZBURGITE,55.1,0.01,0.56,0.07
HARZBURGITE,55.3,0.02,0.65,0.12
HARZBURGITE,37.9,0.06,2.22,0.35
HARZBURGITE,38.13,0.04,2.06,0.18
HARZBURGITE,37.14,0.06,2.84,0.18
HARZBURGITE,37.7,0.03,3.92,0.18
HARZBURGITE,39.26,0.1,1.67,0.58
HARZBURGITE,38.9,0.11,2.83,1.2
HARZBURGITE,39.56,0.04,1.9,1.2
HARZBURGITE,36.41,0,0.41,0.43
HARZBURGITE,39.21,0,0.59,1.66
HARZBURGITE,35.9,0,0.35,0.31
HARZBURGITE,36.01,0,0.47,0.66
HARZBURGITE,36.84,0,0.45,0.63
HARZBURGITE,37.84,0.01,0.64,0.03
HARZBURGITE,37.75,0.01,0.65,0.03
HARZBURGITE,37.45,0.01,0.57,0.03
HARZBURGITE,37.11,0.01,0.55,0.03
HARZBURGITE,36.97,0.01,0.54,0.03
HARZBURGITE,37.17,0.01,0.52,0.02
HARZBURGITE,36.81,0.01,0.6,0.06
HARZBURGITE,36.78,0.01,0.47,0.05
HARZBURGITE,37.48,0.01,0.61,0.2
HARZBURGITE,34.82,0.01,0.34,0.03
HARZBURGITE,39.04,0.01,0.62,0.65
HARZBURGITE,35.65,0.01,0.57,0.52
HARZBURGITE,37.78,0.01,0.66,0.31
HARZBURGITE,35.53,0.01,0.25,0.18
HARZBURGITE,37.58,0.02,0.54,0.51
HARZBURGITE,37.52,0.03,0.53,0.24
HARZBURGITE,38.66,0.01,0.77,0.74
HARZBURGITE,38.78,0.01,0.76,1.03
HARZBURGITE,37.93,0.01,0.7,0.39
HARZBURGITE,38.81,0.01,0.59,0.54
HARZBURGITE,37.82,0.01,0.59,0.5
HARZBURGITE,39.54,0.01,0.88,0.71
HARZBURGITE,37.8,0.01,0.68,0.46
HARZBURGITE,40.2,0.01,0.72,0.86
HARZBURGITE,40.32,0.01,0.79,0.84
HARZBURGITE,34.37,0.01,0.11,0.13
HARZBURGITE,44.61,0.02,1.14,0.01
HARZBURGITE,43.97,0.03,1.51,0.08
HARZBURGITE,45.01,0.03,1.61,0.74
HARZBURGITE,44.96,0.03,1.3,0.23
HARZBURGITE,43.88,0.02,1.33,0.23
HARZBURGITE,45.76,0.02,1.31,0.51
HARZBURGITE,44.1,0.03,1.53,0.85
HARZBURGITE,44.3,0.02,1.48,0.37
HARZBURGITE,44.23,0.02,1.59,1.17
HARZBURGITE,45.4,0.02,1.57,1.23
HARZBURGITE,44.14,0.02,1.25,1.04
HARZBURGITE,43.81,0.02,1.4,1.01
HARZBURGITE,43.49,0.02,1.35,0.7
HARZBURGITE,44.69,0.02,1.43,1.15
HARZBURGITE,42.63,0.02,1.27,0.88
HARZBURGITE,44.33,0.02,1.34,0.35
HARZBURGITE,44.23,0.03,1.3,0.87
HARZBURGITE,44.14,0.02,1.41,0.1
HARZBURGITE,43.74,0.02,1.29,0.01
HARZBURGITE,44.97,0.02,1.83,0.42
HARZBURGITE,44.29,0.02,1.52,0.18
HARZBURGITE,46.16,0.01,1.56,0.33
HARZBURGITE,44.49,0.01,1.44,0.21
HARZBURGITE,44.02,0.02,1.24,0.06
HARZBURGITE,44.86,0.02,1.39,0.33
HARZBURGITE,44.22,0.01,1.22,0.06
HARZBURGITE,44.61,0.02,1.33,0.13
HARZBURGITE,43.87,0.01,1.06,0.14
HARZBURGITE,44.71,0.02,1.42,0.04
HARZBURGITE,44.39,0.41,6.88,5.07
HARZBURGITE,44.81,0.03,1.49,0.18
HARZBURGITE,44.11,0.01,1.34,0.29
HARZBURGITE,43.7,0.02,1.49,0.03
HARZBURGITE,44.48,0.03,1.48,0.29
HARZBURGITE,44.97,0.03,1.83,1.38
HARZBURGITE,43.68,0.01,1.28,0.23
HARZBURGITE,47.22,0.04,1.69,1.06
HARZBURGITE,43.8,0.02,1.35,0.26
HARZBURGITE,44.63,0.02,1.43,0.51
HARZBURGITE,44.31,0.02,1.21,0.42
HARZBURGITE,44.25,0.02,1.38,1.3
HARZBURGITE,43.26,0.01,1.41,1.55
HARZBURGITE,43.28,0.02,1.55,1.05
HARZBURGITE,42.85,0.01,1.49,0.58
