ROCK NAME,LATITUDE,LONGITUDE,SIO2,MGO,CAO,MNO
WEHRLITE,64.2453,29.0244,38.95,34.29,1.18,0.085
WEHRLITE,64.2469,29.0291,40.77,29.47,4.64,0.191
WEHRLITE,64.2467,29.0411,37.59,36.69,0.53,0.154
WEHRLITE,64.2488,29.0298,40.83,28.25,5.22,0.2
DUNITE,64.2495,29.038,34.08,39.82,0.01,0.135
WEHRLITE,64.2506,29.0525,40.56,32.24,0.99,0.11800000000000001
DUNITE,64.2626,29.0455,37.62,38.97,0.02,0.122
DUNITE,64.2722,29.0462,38.96,37.35,0.21,0.11
DUNITE,64.2724,29.0509,36.0,37.08,0.47,0.196
WEHRLITE,64.2721,29.0594,42.06,31.52,2.14,0.154
WEHRLITE,64.275,29.0612,44.45,29.52,3.57,0.16699999999999998
DUNITE,64.2757,29.0532,39.84,36.7,0.7,0.145
WEHRLITE,64.2773,29.0588,39.83,32.49,2.93,0.168
WEHRLITE,64.2825,29.0546,43.29,26.31,4.92,0.17800000000000002
DUNITE,64.2855,29.0582,38.99,35.78,0.41,0.155
DUNITE,64.2887,29.0617,36.64,37.29,0.02,0.256
DUNITE,64.2913,29.0773,39.37,34.14,2.59,0.14800000000000002
DUNITE,64.2934,29.0698,36.75,37.0,0.04,0.113
DUNITE,64.2581,29.0457,35.8,38.95,0.02,0.132
DUNITE,64.251,29.0969,29.99,36.96,0.03,0.10400000000000001
DUNITE,64.2504,29.0782,37.58,35.57,0.67,0.16
WEHRLITE,64.2532,29.0568,41.03,31.8,4.3,0.166
DUNITE,64.2578,29.0493,37.11,39.66,0.03,0.10099999999999999
WEHRLITE,64.2546,29.0646,42.32,26.49,8.31,0.162
DUNITE,64.2566,29.0618,36.56,37.52,0.56,0.18600000000000003
DUNITE,64.2597,29.0567,34.02,39.26,0.05,0.151
WEHRLITE,64.2654,29.0562,39.47,34.0,0.52,0.195
DUNITE,64.2687,29.0667,37.84,37.48,0.02,0.163
DUNITE,64.2594,29.1007,39.26,36.75,1.29,0.18100000000000002
WEHRLITE,64.26,29.1103,46.7,23.6,9.23,0.18899999999999997
WEHRLITE,64.2621,29.1106,47.7,17.9,14.7,0.215
WEHRLITE,64.2641,29.1149,38.54,35.06,0.23,0.10800000000000001
DUNITE,64.2659,29.093000000000004,38.78,34.91,0.02,0.146
WEHRLITE,64.2704,29.0712,40.75,33.13,0.46,0.129
DUNITE,64.2703,29.0917,36.81,39.1,0.02,0.156
WEHRLITE,64.2725,29.0906,43.45,31.25,2.9,0.179
WEHRLITE,64.2731,29.0762,41.39,27.46,4.42,0.185
WEHRLITE,64.2763,29.0734,38.23,32.24,2.2,0.22699999999999998
WEHRLITE,64.278,29.0765,38.88,32.52,1.12,0.18899999999999997
WEHRLITE,64.2776,29.0933,43.27,29.03,4.22,0.139
DUNITE,64.2747,29.1106,34.31,34.54,0.05,0.111
WEHRLITE,64.2774,29.1116,40.43,32.18,1.6,0.20600000000000002
WEHRLITE,64.2794,29.1178,41.53,29.4,5.23,0.165
DUNITE,64.2823,29.1157,37.03,37.52,0.06,0.149
DUNITE,64.2847,29.1086,35.79,38.2,0.04,0.159
WEHRLITE,64.2822,29.0869,46.2,23.9,9.53,0.153
WEHRLITE,64.2701,29.1086,48.9,17.0,11.9,0.196
WEHRLITE,64.2847,29.0844,47.3,17.9,10.4,0.205
WEHRLITE,64.2495,29.0811,41.52,29.38,3.06,0.2
WEHRLITE,64.2501,29.1086,41.06,30.3,3.02,0.172
WEHRLITE,64.3049,29.0498,39.15,33.02,0.98,0.115
DUNITE,66.5276,29.2508,33.9,33.9,1.89,0.22
DUNITE,72.0,101.0,41.21,46.46,1.46,0.17
DUNITE,72.0,101.0,40.78,45.78,1.31,0.19
DUNITE,72.0,101.0,39.09,44.44,1.07,0.17
WEHRLITE,-33.6472,147.408,47.55,15.38,16.48,0.24
DUNITE,-0.23,-78.05,40.7,45.79,1.07,0.17
WEHRLITE,-0.23,-78.05,47.01,24.22,12.39,0.14
WEHRLITE,-0.23,-78.05,46.9,25.08,11.91,0.14
WEHRLITE,-0.23,-78.05,44.53,30.59,7.51,0.17
WEHRLITE,-0.23,-78.05,42.82,32.76,7.3,0.15
WEHRLITE,-0.23,-78.05,42.96,32.55,6.12,0.16
WEHRLITE,11.5,-12.5,43.22,34.18,3.35,0.2
WEHRLITE,11.5,-12.5,41.48,37.7,2.62,0.21
DUNITE,9.77,-13.45,41.07,41.37,0.1,0.25
WEHRLITE,9.77,-13.45,42.11,33.38,3.07,0.24
WEHRLITE,13.0,-12.0,40.84,28.84,4.59,0.21
LHERZOLITE,13.0,-12.0,38.95,32.67,2.13,0.2
WEHRLITE,52.0,85.5,41.59,34.99,6.94,0.18
DUNITE,52.0,85.5,39.26,30.09,7.33,0.17
WEHRLITE,52.0,85.5,40.69,33.99,6.97,0.18
WEHRLITE,52.0,85.5,39.61,30.72,6.98,0.17
WEHRLITE,52.0,85.5,40.76,31.55,8.12,0.17
WEHRLITE,52.0,85.5,40.33,33.94,5.02,0.18
WEHRLITE,52.0,85.5,40.08,34.45,5.4,0.18
WEHRLITE,52.0,85.5,43.66,24.07,12.5,0.18
LHERZOLITE,35.6,5.4,44.91,39.79,3.01,0.15
LHERZOLITE,35.6,5.4,42.99,46.11,0.82,0.14
LHERZOLITE,35.6,5.4,44.29,43.63,1.88,0.14
LHERZOLITE,35.6,5.4,44.13,41.11,2.8,0.15
LHERZOLITE,35.6,5.4,43.91,44.68,1.44,0.14
LHERZOLITE,35.6,5.4,44.89,41.17,2.43,0.15
