,0,1,2,3,4,5,6,7,8,9,10,11,12
173,ROCK NAME,SIO2,TIO2,CR2O3,FEOT,,,,,,,,0.7063234764384175
174,ROCK NAME,SIO2,TIO2,CR2O3,CAO,,,,,,,,0.7068348935015589
175,ROCK NAME,SIO2,TIO2,CR2O3,MGO,,,,,,,,0.7069951653284973
176,ROCK NAME,SIO2,TIO2,CR2O3,MNO,,,,,,,,0.706649282920468
177,ROCK NAME,SIO2,TIO2,CR2O3,K2O,,,,,,,,0.706446002326151
178,ROCK NAME,SIO2,TIO2,CR2O3,NA2O,,,,,,,,0.7064306822221147
179,ROCK NAME,SIO2,TIO2,CR2O3,P2O5,,,,,,,,0.7063522211670344
180,ROCK NAME,SIO2,TIO2,FEOT,CAO,,,,,,,,0.7067888117611859
181,ROCK NAME,SIO2,TIO2,FEOT,MGO,,,,,,,,0.7070223224069361
182,ROCK NAME,SIO2,TIO2,FEOT,MNO,,,,,,,,0.7068536941032371
183,ROCK NAME,SIO2,TIO2,FEOT,K2O,,,,,,,,0.706728188612245
184,ROCK NAME,SIO2,TIO2,FEOT,NA2O,,,,,,,,0.7066656399989717
185,ROCK NAME,SIO2,TIO2,FEOT,P2O5,,,,,,,,0.7067211959685061
186,ROCK NAME,SIO2,TIO2,CAO,MGO,,,,,,,,0.7070503933249014
187,ROCK NAME,SIO2,TIO2,CAO,MNO,,,,,,,,0.7074670142046012
188,ROCK NAME,SIO2,TIO2,CAO,K2O,,,,,,,,0.7080349919856076
189,ROCK NAME,SIO2,TIO2,CAO,NA2O,,,,,,,,0.7084120557804751
190,ROCK NAME,SIO2,TIO2,CAO,P2O5,,,,,,,,0.7087901433451156
191,ROCK NAME,SIO2,TIO2,MGO,MNO,,,,,,,,0.7090159069325718
192,ROCK NAME,SIO2,TIO2,MGO,K2O,,,,,,,,0.7092885365769633
193,ROCK NAME,SIO2,TIO2,MGO,NA2O,,,,,,,,0.7094604517284913
