ROCK NAME,SIO2,CAO,AL2O3,MGO
LHERZOLITE,43.5,1.99,2.13,50.06392
LHERZOLITE,44.9,2.59,2.13,48.33928
LHERZOLITE,44.42,2.31,2.49,50.82061
LHERZOLITE,43.72,2.24,2.63,49.24281
LHERZOLITE,45.44,2,2.57,50.35
LHERZOLITE,32.14,3.18,2.15,49.97223
LHERZOLITE,42.78,4.78,2.15,45.71771
LHERZOLITE,44.12,1.41,2.15,50.08554
LHERZOLITE,44.65,2.26,2.15,48.60766
LHERZOLITE,44.12,1.88,2.15,49.9016
LHERZOLITE,43.4,1.43,2.15,52.18296
LHERZOLITE,43.88,1.94,2.16,48.75709
LHERZOLITE,44.3,2.01,2.55,48.99052
LHERZOLITE,43.89,2.35,2.16,50.79
LHERZOLITE,44.4,2.57,2.17,50.55397
LHERZOLITE,44.36,1.85,2.18,49.6217
LHERZOLITE,43.97,3.48,2.481,49.69
LHERZOLITE,43.71,1.8,2.6,49.50587
LHERZOLITE,44.32,1.4,2.62,49.72719
LHERZOLITE,44.27,2.02,2.2,50.59009
LHERZOLITE,44.03,1.98,2.58,49.18618
LHERZOLITE,43.89,2.79,2.21,49.27
LHERZOLITE,44.2,2.78,2.22,47.64705
LHERZOLITE,44.07,2.1,2.74,49.39
LHERZOLITE,44.22,2.81,2.23,49.65
LHERZOLITE,43.22,1.77,2.24,51.34809
LHERZOLITE,45.4,1.92,2.57,49.82
LHERZOLITE,44.7,3.26,2.25,48.04221
LHERZOLITE,44.73,1.82,2.25,50.04
LHERZOLITE,44.02,1.5,2.77,51.68
LHERZOLITE,44.34,2.15,2.69,51.49574
LHERZOLITE,43.8,1.81,2.27,48.4809
LHERZOLITE,44.43,3.17,2.64,46.85214
LHERZOLITE,44.01,2.71,2.27,48.97485
LHERZOLITE,43.62,1.81,2.27,50.81231
LHERZOLITE,43.46,1.83,2.74,50.57959
LHERZOLITE,44.17316953,2.078053659,2.277615346,50.83305446
LHERZOLITE,43.84,1.22,2.28,50.32413
LHERZOLITE,44.69,1.62,2.28,49.76
LHERZOLITE,44.44,1.36,2.706,50.66
LHERZOLITE,44.4,1.94,2.29,49.38
LHERZOLITE,44.92,1.46,2.29,50.31928
LHERZOLITE,43.4,1.6,2.71,51.619
LHERZOLITE,40.6,2.25,2.3,51.56947
LHERZOLITE,44.6,2.02,2.3,49.44142
LHERZOLITE,43.84,2.05,2.31,49.64422
LHERZOLITE,43.44,2.18,2.57,50.73
LHERZOLITE,44.53,1.37,2.742,50.75
LHERZOLITE,44.22,1.64,2.74,49.02
LHERZOLITE,43.97,2.27,2.34,50.05012
LHERZOLITE,42.97,2.2,2.34,50.79373
LHERZOLITE,44.15,2.21,2.87,49.46526
LHERZOLITE,43.12,2.09,2.62,50.65296
LHERZOLITE,44.12,1.8,2.83,50.74283
LHERZOLITE,44.75,2.25,2.35,49.08271
LHERZOLITE,43.29,2.84,2.63,49.21577
LHERZOLITE,43.91,2.46,2.655,50.11
LHERZOLITE,55.5,0.76,2.95,40.35
LHERZOLITE,45,1.77,2.37,49.1698
LHERZOLITE,44.57,1.93,2.37,50.45
LHERZOLITE,43.21,2.35,2.859,49.47
LHERZOLITE,44.86,2,2.38,48.97008
LHERZOLITE,44.6,2.84,2.39,47.11331
LHERZOLITE,44.23,1.93,2.77,49.68
LHERZOLITE,44.69,2.38,2.4,46.32493
LHERZOLITE,44.11,2.12,2.4,49.73807
LHERZOLITE,42.84,3.45,2.822,48.98
LHERZOLITE,44.45,2.51,2.4,47.95186
LHERZOLITE,44.2,2.22,2.41,48.75726
LHERZOLITE,43.9,1.89,2.86,50.15
LHERZOLITE,44.39,1.91,2.41,50.67757
LHERZOLITE,44.82,1.79,3.32,49.33821
LHERZOLITE,44.56,2.2,2.42,48.04857
LHERZOLITE,44.12,2.02,2.42,48.97769
LHERZOLITE,46.62,2.41,2.8,47.7
LHERZOLITE,45.13,1.09,2.43,49.16637
LHERZOLITE,44.34,1.78,2.43,49.73736
LHERZOLITE,44.5,1.94,2.43,49.54372
LHERZOLITE,44.37,1.45,2.92,49.32415
LHERZOLITE,42.89,1.28,2.45,50.86474
LHERZOLITE,44.34,2.27,2.45,49.31021
LHERZOLITE,44.56,2.69,3.1,48.10315
LHERZOLITE,44.59,2.85,2.46,47.77746
