ROCK NAME,LATITUDE,LONGITUDE,SIO2,TIO2,AL2O3,FE2O3,FE2O3T,FEO,FEOT,MGO,CAO,NA2O,K2O,P2O5,MNO,CR2O3
PERIDOTITE,57.03,120.72,41.5,0.081,0.94,,,,8.96,47,0.57,0.04,0.02,0.016,0.1,
PERIDOTITE,57.03,120.72,41.4,0.093,1.2,,,,9.56,46.4,1.04,0.011,0.004,0.13,0.16,
PERIDOTITE,57.03,120.72,42.8,0.058,1.67,,,,8.66,44,0.81,0.01,0.01,0.04,0.12,
PERIDOTITE,57.03,120.72,41.7,0.062,0.87,,,,9.4,46.1,0.51,0.04,0.01,0.016,0.11,
DUNITE,57.03,120.72,42,0.038,0.77,,,,7.66,47.8,1.56,0.01,0.003,0.05,0.13,
PERIDOTITE,57.03,120.72,42,0.075,1.14,,,,9.87,45.4,1.29,0.012,0.003,0.074,0.14,
DUNITE,57.03,120.72,42,0.031,1.08,,,,8.57,47.6,0.04,0.01,0.01,0.04,0.08,
DUNITE,57.03,120.72,42.6,0.017,1.06,,,,9.32,45.7,0.05,0.01,0.02,0.04,0.08,
DUNITE,57.03,120.72,41.1,0.027,1.23,,,,8.48,48,0.02,0.01,0.01,0.04,0.1,
DUNITE,57.03,120.72,40.5,0.007,0.94,,,,7.91,48.5,0.12,0.06,0.01,0.04,0.12,
DUNITE,57.03,120.72,40.1,0.016,0.29,,,,7.47,50.4,0.09,0.01,0.01,0.04,0.12,
HARZBURGITE,42,143,42.96,0.01,0.73,1.33,,6.94,,46.19,0.54,0.01,0.01,0,0.13,0.4
HARZBURGITE,42,143,43.36,0.02,0.65,,,,8.13,47.08,0.57,0.01,0.02,0.01,0.13,
LHERZOLITE,42,143,43.43,0.08,2.36,1.39,,7.03,,42.49,1.61,0.16,0,0,0.13,0.31
LHERZOLITE,42,143,43.65,0.073,2.14,,,,8.23,42.45,1.47,0.139,0.006,0.006,0.131,0.298
LHERZOLITE,42,143,43.63,0.09,2.1,,,,8.31,43.02,1.66,0.17,0.02,0.01,0.13,
