,0,1,2,3,4,5,6,7,8,9,10,11
155,ROCK NAME,MGO,MNO,K2O,0.7062544135193707,,,,,,,
156,ROCK NAME,MGO,MNO,NA2O,0.7060687994870584,,,,,,,
157,ROCK NAME,MGO,MNO,P2O5,0.7059817038719992,,,,,,,
158,ROCK NAME,MGO,K2O,NA2O,0.7061047501299074,,,,,,,
159,ROCK NAME,MGO,K2O,P2O5,0.705976970560304,,,,,,,
160,ROCK NAME,MGO,NA2O,P2O5,0.706110314805967,,,,,,,
161,ROCK NAME,MNO,K2O,NA2O,0.705989940557842,,,,,,,
162,ROCK NAME,MNO,K2O,P2O5,0.7050262469485372,,,,,,,
163,ROCK NAME,MNO,NA2O,P2O5,0.7047691844439808,,,,,,,
164,ROCK NAME,K2O,NA2O,P2O5,0.7045094822872595,,,,,,,
165,ROCK NAME,SIO2,TIO2,AL2O3,CR2O3,0.7046876966555676,,,,,,
166,ROCK NAME,SIO2,TIO2,AL2O3,FEOT,0.7051594816065868,,,,,,
167,ROCK NAME,SIO2,TIO2,AL2O3,CAO,0.7057500113055664,,,,,,
168,ROCK NAME,SIO2,TIO2,AL2O3,MGO,0.7061143984220905,,,,,,
169,ROCK NAME,SIO2,TIO2,AL2O3,MNO,0.7063180827886708,,,,,,
170,ROCK NAME,SIO2,TIO2,AL2O3,K2O,0.7065638137762893,,,,,,
171,ROCK NAME,SIO2,TIO2,AL2O3,NA2O,0.7069005499238059,,,,,,
172,ROCK NAME,SIO2,TIO2,AL2O3,P2O5,0.7070851791468362,,,,,,
173,ROCK NAME,SIO2,TIO2,CR2O3,FEOT,0.7068747202846821,,,,,,
174,ROCK NAME,SIO2,TIO2,CR2O3,CAO,0.707247320580654,,,,,,
175,ROCK NAME,SIO2,TIO2,CR2O3,MGO,0.707286540619874,,,,,,
176,ROCK NAME,SIO2,TIO2,CR2O3,MNO,0.7068907238398763,,,,,,
177,ROCK NAME,SIO2,TIO2,CR2O3,K2O,0.7065527065527062,,,,,,
178,ROCK NAME,SIO2,TIO2,CR2O3,NA2O,0.7065102633072836,,,,,,
179,ROCK NAME,SIO2,TIO2,CR2O3,P2O5,0.706310013717421,,,,,,
180,ROCK NAME,SIO2,TIO2,FEOT,CAO,0.706725850372259,,,,,,
181,ROCK NAME,SIO2,TIO2,FEOT,MGO,0.7068657837888606,,,,,,
182,ROCK NAME,SIO2,TIO2,FEOT,MNO,0.7067187686495516,,,,,,
183,ROCK NAME,SIO2,TIO2,FEOT,K2O,0.7066146413972498,,,,,,
