Rock Type,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,CaO
"PERIDOTITE",58.01,0.01,25.96,,,,8.58
"PERIDOTITE",58.33,,26.01,,,,8.45
"PERIDOTITE",57.96,0.01,26.07,,,,8.39
"PERIDOTITE",58.47,,26.33,,,,8.38
"PERIDOTITE",40.77,,,,,0.08,0.07
"PERIDOTITE",41.22,,,,,0.13,0.07
"PERIDOTITE",40.89,0.03,0.16,,,0.17,0.25
"PERIDOTITE",51.97,0.42,0.76,,,,20.44
"PERIDOTITE",54.87,0.12,1.59,,,0.18,0.72
"PERIDOTITE",54.74,0.09,4.46,,,0.12,0.72
"PERIDOTITE",,,4.53,,,,
"PERIDOTITE",0.04,0.08,58.77,,,0.13,
"PERIDOTITE",0.07,0.07,58.96,,,0.01,
"PERIDOTITE",51.92,0.43,6.77,,,0.08,20.15
"PERIDOTITE",52.24,0.41,6.99,,,0.16,20
"PERIDOTITE",0.08,0.1,60.04,,,0.07,
"PYROXENITE",38.65,0.03,,,,0.38,0.19
"PYROXENITE",38.79,0.03,0.02,,,0.26,0.18
"PYROXENITE",38.58,0.02,0.02,,,0.3,0.2
"PYROXENITE",38.82,0.02,0.04,,,0.25,0.18
"PYROXENITE",38.82,0.02,0.04,,,0.25,0.18
"PYROXENITE",38.79,0.01,0.04,,,0.27,0.35
"PYROXENITE",0.14,1.08,53.8,,,0.11,
"PYROXENITE",0.11,1.1,55.52,,,0.18,
"PYROXENITE",0.15,1.15,55.65,,,0.21,
"PYROXENITE",0.15,1.15,55.65,,,0.21,
"PYROXENITE",0.15,1.06,55.66,,,0.15,
"PYROXENITE",0.15,1.09,55.93,,,0.23,
"PYROXENITE",0.12,1.09,56.04,,,0.22,
"PYROXENITE",48.71,1.41,8.43,,,0.15,19.12
"PYROXENITE",48.6,1.41,8.47,,,0.22,19.03
