Rock Type,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,CaO
"PERIDOTITE",40.55,0.25,18.08,,6.78,0.33,5.67
"PERIDOTITE",41.27,0.15,18.43,,5.81,0.23,4.72
"PERIDOTITE",41.62,0.27,18.76,,6.74,0.33,5.71
"PERIDOTITE",41.82,0.28,18.86,,8.02,0.38,5.42
"PERIDOTITE",40.96,0.21,18.96,,6.31,0.32,5.41
"PERIDOTITE",41.69,0.16,19,,7.27,0.37,5.43
"PERIDOTITE",41.62,0.07,19.16,,6.26,0.36,3.01
"PERIDOTITE",42.05,0.03,19.18,,6.21,0.36,3.17
"PERIDOTITE",41.38,0.06,19.25,,6.18,0.32,3.01
"PERIDOTITE",41.66,0.07,19.29,,6.15,0.35,3.05
"PERIDOTITE",42.49,0.04,19.32,,5.12,0.22,2.93
"PERIDOTITE",42.26,0.03,19.43,,5.1,0.21,3.02
"PERIDOTITE",41.79,0.29,19.53,,6.68,0.19,5.74
"PERIDOTITE",41.66,0.33,19.58,,6.78,0.3,5.74
"PERIDOTITE",40.86,0.33,20.17,,6.72,0.27,5.1
"PERIDOTITE",42.08,0.18,20.38,,6.82,0.33,5.21
"PERIDOTITE",41.74,0.27,20.4,,7.4,0.41,5.02
"PERIDOTITE",41.42,0.03,20.41,,6.82,0.32,5.12
"PERIDOTITE",42.03,0.28,20.44,,6.24,0.26,4.88
"PERIDOTITE",41.77,0.27,20.49,,7.56,0.39,4.97
"PERIDOTITE",41.63,0.32,20.53,,7.62,0.34,5.03
"PERIDOTITE",41.14,0.35,20.55,,7.5,0.38,4.93
"PERIDOTITE",41.22,0.3,20.63,,7.48,0.34,5.01
"PERIDOTITE",41.38,0.31,20.63,,7.58,0.41,4.97
"PERIDOTITE",41.89,0.27,20.67,,7.54,0.4,4.99
"PERIDOTITE",41.68,0.32,20.68,,7.59,0.33,5.03
"PERIDOTITE",41.91,0.05,20.73,,6.51,0.36,5.09
"PERIDOTITE",41.74,0.08,20.76,,6.69,0.37,5.1
"PERIDOTITE",41.47,0.27,20.89,,7.36,0.35,4.95
"PERIDOTITE",41.26,0.09,20.9,,7.42,0.48,5.44
"PERIDOTITE",42.01,0.05,20.91,,7.31,0.4,5.5
"PERIDOTITE",41.79,0.25,20.91,,7.79,0.32,5.22
"PERIDOTITE",41.04,0.07,21.04,,7.75,0.47,5.29
"PERIDOTITE",41.5,0.02,21.06,,7.34,0.5,5.44
"PERIDOTITE",41.56,0.06,21.08,,7.51,0.42,5.51
"PERIDOTITE",41.48,0.05,21.08,,7.56,0.46,5.52
"PERIDOTITE",41.86,0.04,21.1,,7.15,0.35,5.51
"PERIDOTITE",41.57,,21.15,,7.43,0.5,5.5
"PERIDOTITE",41.81,0.07,21.16,,7.52,0.43,5.58
"PERIDOTITE",41.46,0.03,21.17,,7.26,0.37,5.44
"PERIDOTITE",40.38,0.02,21.18,,7.53,0.46,5.46
"PERIDOTITE",41.3,0.06,21.18,,7.63,0.41,5.42
"PERIDOTITE",41.85,0.18,21.19,,7.32,0.39,5.28
"PERIDOTITE",41.84,0.03,21.2,,7.26,0.45,5.64
"PERIDOTITE",42.18,0.08,21.2,,7.63,0.41,5.43
"PERIDOTITE",41.64,0.08,21.21,,7.15,0.28,5.51
"PERIDOTITE",41.84,0.04,21.22,,7.37,0.41,5.49
"PERIDOTITE",41.31,0.04,21.23,,7.25,0.41,5.52
"PERIDOTITE",42.07,0.01,21.23,,7.54,0.45,5.61
"PERIDOTITE",41.22,0.08,21.23,,7.74,0.47,5.51
"PERIDOTITE",42.09,0.05,21.24,,7.49,0.48,5.49
"PERIDOTITE",40.7,0.04,21.25,,7.66,0.46,5.39
"PERIDOTITE",41.42,0.06,21.26,,7.14,0.44,5.4
"PERIDOTITE",41.28,0.05,21.28,,7.72,0.43,5.37
"PERIDOTITE",41.27,0.09,21.29,,7.57,0.48,5.31
"PERIDOTITE",41.43,0.05,21.29,,7.6,0.4,5.16
"PERIDOTITE",41.73,0.06,21.32,,7.8,0.44,5.46
"PERIDOTITE",41.13,0.04,21.34,,7.51,0.37,5.41
"PERIDOTITE",42.01,0.02,21.34,,7.59,0.48,5.4
"PERIDOTITE",41.44,0.09,21.34,,7.73,0.44,5.28
"PERIDOTITE",41.71,0.08,21.35,,7.39,0.43,5.54
"PERIDOTITE",41.86,0.07,21.35,,7.58,0.45,5.26
"PERIDOTITE",41.74,0.05,21.35,,7.72,0.45,5.49
"PERIDOTITE",41.91,0.06,21.36,,7.54,0.44,5.23
"PERIDOTITE",41.1,0.04,21.36,,7.59,0.44,5.46
"PERIDOTITE",40.68,0.06,21.37,,7.57,0.45,5.31
"PERIDOTITE",41.33,0.09,21.37,,7.62,0.49,5.19
"PERIDOTITE",41.24,0.06,21.38,,7.55,0.38,5.42
"PERIDOTITE",41.5,0.01,21.4,,7.6,0.46,5.47
"PERIDOTITE",42.34,0.04,21.41,,7.51,0.41,5.25
"PERIDOTITE",41.69,0.02,21.41,,7.62,0.5,5.42
"PERIDOTITE",41.81,0.04,21.42,,7.32,0.44,5.35
"PERIDOTITE",41.35,0.06,21.43,,7.6,0.41,5.52
"PERIDOTITE",41.73,0.1,21.43,,7.62,0.42,5.49
"PERIDOTITE",41.46,0.03,21.44,,7.57,0.41,5.31
"PERIDOTITE",41.64,0.07,21.44,,7.61,0.47,5.28
"PERIDOTITE",41.47,0.04,21.52,,7.23,0.41,5.52
"PERIDOTITE",41.4,0.07,21.53,,7.2,0.48,5.25
"PERIDOTITE",41.14,0.05,21.54,,7.34,0.43,5.34
"PERIDOTITE",41.85,0.06,21.54,,7.52,0.47,5.24
"PERIDOTITE",41.29,0.04,21.55,,7.36,0.38,5.17
"PERIDOTITE",41.76,0.05,21.59,,7.67,0.45,5.36
"PERIDOTITE",41.04,0.08,21.62,,7.61,0.36,5.36
"PERIDOTITE",42.14,0.1,21.67,,7.71,0.44,5.34
"PERIDOTITE",41.46,0.04,21.73,,7.76,0.41,5.26
"PERIDOTITE",42.78,0.07,21.74,,5.91,0.23,4.97
"PERIDOTITE",41.35,0.02,21.75,,7.19,0.42,5.19
"PERIDOTITE",41.44,0.04,21.75,,7.43,0.45,5.3
"PERIDOTITE",41.69,0.09,21.82,,7.65,0.43,5.33
"PERIDOTITE",41.8,0.25,21.89,,7.11,0.4,4.44
"PERIDOTITE",42.69,,21.91,,6.56,0.31,1.83
"PERIDOTITE",41.83,0.05,21.91,,6.89,0.32,4.69
"PERIDOTITE",42.31,0.03,21.95,,6.69,0.33,1.98
"PERIDOTITE",41.9,0.07,22.02,,7.55,0.41,4.91
"PERIDOTITE",42.74,,22.03,,6.55,0.37,1.89
"PERIDOTITE",41.73,0.12,22.63,,8.48,0.42,5.01
"PERIDOTITE",40.76,0.09,15.35,,5.58,0.21,3.98
"PERIDOTITE",40.81,0.7,16.7,,6.13,0.27,6.89
"PERIDOTITE",41.17,0.1,17.45,,5.24,0.24,5.75
"PERIDOTITE",40.8,0.09,17.52,,5.3,0.23,5.14
"PERIDOTITE",41.84,0.02,17.75,,5.44,0.18,3.88
"PERIDOTITE",41.02,0.1,17.89,,5.29,0.2,5.03
"PERIDOTITE",41.72,0.09,18.02,,5.52,0.19,3.35
"PERIDOTITE",41.08,0.15,18.25,,5.1,0.23,2.98
"PERIDOTITE",40.89,0.07,18.34,,5.34,0.26,3.51
"PERIDOTITE",42.02,0.04,18.62,,5.29,0.23,5.31
"PERIDOTITE",42.26,0.03,18.73,,5.22,0.2,5.29
"PERIDOTITE",41.54,0.05,18.73,,5.44,0.26,5.72
"PERIDOTITE",42.11,0.22,18.83,,5.7,0.19,6.05
"PERIDOTITE",42.18,0.09,18.9,,5.14,0.28,4.38
"PERIDOTITE",42.01,0.1,18.94,,5.12,0.25,4.18
"PERIDOTITE",42.23,0.07,18.96,,5.16,0.2,2.55
"PERIDOTITE",42.24,0.09,19,,4.96,0.25,4.13
"PERIDOTITE",41.19,0.07,19.01,,5.18,0.2,5.43
"PERIDOTITE",41.32,0.06,19.06,,5.05,0.22,4.06
"PERIDOTITE",42.68,0.05,19.07,,5.18,0.17,2.68
"PERIDOTITE",42.54,0.06,19.11,,5.04,0.22,2.79
"PERIDOTITE",42.26,0.01,19.19,,5.22,0.21,2.71
"PERIDOTITE",42.32,0.07,19.19,,5.37,0.19,5.12
"PERIDOTITE",41.04,0.49,19.2,,5.87,0.22,5.22
"PERIDOTITE",42.04,0.07,19.24,,5.43,0.19,5.1
"PERIDOTITE",41.84,0.08,19.27,,5.26,0.22,4.46
"PERIDOTITE",41.77,0.39,19.33,,6.61,0.23,5.5
"PERIDOTITE",41.13,0.15,19.37,,5.1,0.2,4.02
"PERIDOTITE",40.88,0.04,19.37,,5.5,0.25,6.03
"PERIDOTITE",42.64,0.1,19.4,,5.09,0.23,3.96
"PERIDOTITE",41.51,0.34,19.4,,7.04,0.36,5.06
"PERIDOTITE",41.53,0.1,19.46,,5.16,0.24,3.93
"PERIDOTITE",42.5,0.12,19.48,,5.21,0.18,4.03
"PERIDOTITE",41.49,0.06,19.54,,5.18,0.18,4.5
"PERIDOTITE",41.45,0.54,19.59,,6.38,0.22,5.01
"PERIDOTITE",42.15,0.24,19.63,,5.62,0.21,5.5
"PERIDOTITE",40.76,0.59,19.76,,6.25,0.27,5.19
"PERIDOTITE",41.78,0.53,19.78,,6.5,0.22,5.23
"PERIDOTITE",42.29,0.59,19.87,,6.43,0.23,5.23
"PERIDOTITE",42.08,0.53,19.96,,6.31,0.28,5.17
"PERIDOTITE",41.58,0.53,20.01,,6.38,0.25,5.16
"PERIDOTITE",41.29,0.53,20.07,,6.31,0.19,5.17
"PERIDOTITE",40.02,0.31,20.35,,7.4,0.36,4.85
"PERIDOTITE",40.9,0.32,20.35,,7.57,0.34,4.93
"PERIDOTITE",41.2,0.29,20.49,,7.62,0.29,4.9
"PERIDOTITE",41.66,0.54,20.52,,7.03,0.3,4.69
"PERIDOTITE",41.26,0.33,20.55,,7.63,0.29,4.93
"PERIDOTITE",42.35,0.01,20.66,,5.58,0.28,5.41
"PERIDOTITE",40.98,0.05,20.97,,7.72,0.44,5.33
"PERIDOTITE",40.58,0.77,21.02,,8.02,0.26,5.07
"PERIDOTITE",41.97,0.85,21.1,,7.76,0.27,5.07
"PERIDOTITE",41.65,0.67,21.13,,7.3,0.18,4.99
"PERIDOTITE",41.57,0.81,21.16,,7.26,0.27,5.01
"PERIDOTITE",42.08,0.66,21.23,,7.56,0.27,4.57
"PERIDOTITE",40.48,0.79,21.24,,7.95,0.27,4.94
"PERIDOTITE",41.96,0.07,21.26,,7.63,0.34,5.02
"PERIDOTITE",42.02,0.81,21.3,,7.89,0.25,5.03
"PERIDOTITE",42.19,0.65,21.33,,7.35,0.26,4.96
"PERIDOTITE",41.1,0.65,21.35,,7.49,0.26,4.93
"PERIDOTITE",40.5,0.76,21.4,,7.88,0.31,4.86
"PERIDOTITE",41.81,0.6,21.41,,7.76,0.24,4.91
"PERIDOTITE",40.75,0.8,21.41,,7.87,0.25,4.97
"PERIDOTITE",41.27,1.15,21.41,,9.24,0.29,5.17
"PERIDOTITE",40.95,0.66,21.42,,7.7,0.26,4.89
"PERIDOTITE",41.8,0.83,21.44,,8.08,0.33,4.85
"PERIDOTITE",40.73,0.57,21.45,,7.64,0.24,4.89
"PERIDOTITE",41.95,1.15,21.45,,9.26,0.27,5.16
"PERIDOTITE",41.11,0.45,21.46,,7.06,0.21,5.03
"PERIDOTITE",41.84,0.71,21.46,,7.5,0.25,4.98
"PERIDOTITE",41.15,0.81,21.47,,7.48,0.24,4.89
"PERIDOTITE",41.37,0.78,21.48,,7.86,0.2,4.7
"PERIDOTITE",41.23,0.84,21.49,,7.46,0.28,5.02
"PERIDOTITE",41.14,0.76,21.51,,7.74,0.23,4.92
"PERIDOTITE",41.3,0.8,21.51,,8.17,0.29,4.9
"PERIDOTITE",41.72,0.64,21.52,,7.83,0.28,4.98
"PERIDOTITE",41.73,0.79,21.53,,7.77,0.3,4.89
"PERIDOTITE",42.12,0.86,21.54,,7.9,0.25,4.8
"PERIDOTITE",41.98,0.76,21.54,,8.07,0.27,4.81
"PERIDOTITE",42.14,0.69,21.55,,7.69,0.27,5.02
"PERIDOTITE",42.19,0.66,21.56,,7.65,0.33,4.89
"PERIDOTITE",40.97,0.65,21.57,,7.21,0.21,5.01
"PERIDOTITE",41.34,0.67,21.57,,7.56,0.27,5.05
"PERIDOTITE",41.8,0.8,21.58,,8.2,0.3,4.84
"PERIDOTITE",41.92,0.74,21.61,,7.78,0.3,4.86
"PERIDOTITE",41.92,0.83,21.61,,7.9,0.24,4.81
"PERIDOTITE",41.35,0.75,21.66,,8.3,0.32,5.12
"PERIDOTITE",42.01,0.78,21.67,,7.75,0.26,4.77
"PERIDOTITE",41.96,0.68,21.71,,7.52,0.24,4.85
"PERIDOTITE",42.15,0.84,21.71,,8.04,0.31,5.05
"PERIDOTITE",41.09,0.81,21.72,,8.1,0.29,4.97
"PERIDOTITE",42.16,0.75,21.73,,7.82,0.26,4.82
"PERIDOTITE",41.98,0.73,21.74,,7.95,0.24,4.45
"PERIDOTITE",41.83,0.91,21.76,,7.92,0.26,5.12
"PERIDOTITE",40.83,0.76,21.77,,7.99,0.22,4.92
"PERIDOTITE",40.87,0.86,21.8,,8.12,0.25,4.98
"PERIDOTITE",41.43,0.74,21.84,,7.8,0.21,4.89
"PERIDOTITE",41.2,0.91,21.88,,9.28,0.29,5.01
"PERIDOTITE",42.31,0.75,21.97,,8.09,0.27,4.86
"PERIDOTITE",41.41,0.71,21.98,,8,0.2,4.55
"PERIDOTITE",42.26,0.75,22.02,,8.09,0.25,4.77
"PERIDOTITE",40.48,0.61,15.59,,5.92,0.22,6.98
"PERIDOTITE",41.14,0.03,16.69,,5.56,0.24,3.67
"PERIDOTITE",41.43,0.02,16.8,,5.57,0.28,3.76
"PERIDOTITE",40.39,0.03,16.85,,5.37,0.22,4.27
"PERIDOTITE",41.16,0.04,16.87,,5.43,0.19,3.67
"PERIDOTITE",41.89,0.04,16.88,,5.57,0.18,3.7
"PERIDOTITE",41.31,0.01,16.9,,5.38,0.21,4.3
"PERIDOTITE",41.64,0.02,16.9,,5.55,0.19,3.67
"PERIDOTITE",40.49,0.02,16.9,,5.62,0.27,3.62
"PERIDOTITE",41.41,0.04,16.94,,5.51,0.24,3.75
"PERIDOTITE",41.16,0.05,16.95,,5.59,0.22,3.71
"PERIDOTITE",41.02,0.04,17,,5.32,0.27,4.29
"PERIDOTITE",41.48,0.07,17.05,,5.53,0.18,3.77
"PERIDOTITE",41.59,0.05,17.05,,5.59,0.22,3.76
"PERIDOTITE",41.71,0.03,17.05,,5.6,0.26,3.53
"PERIDOTITE",41.36,0.03,17.22,,5.57,0.29,3.64
"PERIDOTITE",41.68,0.15,17.3,,5.59,0.17,6.32
"PERIDOTITE",41.76,0.06,17.35,,5.57,0.24,4.45
"PERIDOTITE",41.19,0.09,17.37,,5.58,0.17,4.62
"PERIDOTITE",41.17,0.09,17.42,,5.34,0.22,4.63
"PERIDOTITE",42,0.15,17.47,,5.5,0.17,6.48
"PERIDOTITE",41.81,0.15,17.61,,5.48,0.16,6.4
"PERIDOTITE",40.33,0.05,17.93,,5.39,0.25,5.22
"PERIDOTITE",41.78,0.07,17.98,,5.42,0.2,5.06
"PERIDOTITE",42.21,0.05,18.16,,5.31,0.22,5.28
"PERIDOTITE",41.84,0.24,18.18,,5.64,0.21,5.49
"PERIDOTITE",42.2,0.04,18.23,,5.3,0.19,5.21
"PERIDOTITE",40.26,0.01,18.36,,5.33,0.25,3.04
"PERIDOTITE",41,,18.43,,5.58,0.21,5.27
"PERIDOTITE",41.46,0.46,18.43,,6.18,0.23,4.56
"PERIDOTITE",41.98,0.05,18.44,,5.57,0.26,5.55
"PERIDOTITE",41.86,0.57,18.46,,6.23,0.26,4.92
"PERIDOTITE",40.92,,18.52,,5.22,0.2,2.83
"PERIDOTITE",41.99,0.03,18.68,,5.51,0.22,5.19
"PERIDOTITE",42.25,0.07,18.69,,5.38,0.16,4.72
"PERIDOTITE",40.84,0.39,18.86,,6.18,0.26,4.46
"PERIDOTITE",41.43,0.1,19.05,,5.34,0.2,3.3
"PERIDOTITE",42.16,0.15,19.05,,5.39,0.2,3.32
"PERIDOTITE",41.8,0.37,19.05,,7.43,0.27,5.18
"PERIDOTITE",41.85,0.04,19.07,,5.28,0.23,2.92
"PERIDOTITE",40.36,0.21,19.18,,5.62,0.22,5.46
"PERIDOTITE",41.72,0.37,19.28,,6.96,0.26,5.22
"PERIDOTITE",42.74,0.11,19.43,,5.4,0.17,3.67
"PERIDOTITE",41.59,0.29,19.43,,7.28,0.38,5.42
"PERIDOTITE",42.54,0.06,19.46,,5.31,0.23,3.07
"PERIDOTITE",41.99,0.24,19.75,,5.35,0.19,5.67
"PERIDOTITE",41.63,0.43,19.78,,7.93,0.27,5.25
"PERIDOTITE",41.27,0.02,19.91,,7.98,0.48,5.96
"PERIDOTITE",41.65,0.96,20.35,,7.69,0.26,5.41
"PERIDOTITE",41.74,0.11,20.81,,7.67,0.43,5.25
"PERIDOTITE",41.95,0.94,20.85,,7.68,0.2,5.01
"PERIDOTITE",41.92,0.86,20.99,,7.24,0.25,4.92
"PERIDOTITE",41.92,0.69,21.09,,7.55,0.26,4.96
"PERIDOTITE",41.12,0.89,21.21,,8.07,0.25,5.13
"PERIDOTITE",41.84,0.7,21.24,,7.63,0.26,4.71
"PERIDOTITE",41.22,0.75,21.25,,7.42,0.22,5.03
"PERIDOTITE",40.77,0.82,21.25,,7.96,0.29,4.91
"PERIDOTITE",41.09,0.97,21.3,,8.17,0.3,5.14
"PERIDOTITE",40.35,0.98,21.32,,11.06,0.32,4.96
"PERIDOTITE",41.58,0.46,21.34,,6.98,0.18,5.08
"PERIDOTITE",42.56,0.55,21.37,,6.81,0.27,4.98
"PERIDOTITE",41.84,0.07,21.37,,7.48,0.44,5.22
"PERIDOTITE",42.03,0.57,21.38,,7.16,0.24,5
"PERIDOTITE",41.38,0.87,21.41,,7.71,0.24,5.01
"PERIDOTITE",40.6,1.2,21.47,,11.24,0.36,5.1
"PERIDOTITE",41.49,1.19,21.48,,11.12,0.35,5.23
"PERIDOTITE",42.23,0.66,21.49,,7.18,0.23,5.07
"PERIDOTITE",42.2,0.52,21.5,,6.95,0.25,5.03
"PERIDOTITE",42.36,0.9,21.53,,8.27,0.25,4.99
"PERIDOTITE",42.41,0.76,21.54,,7.83,0.28,5
"PERIDOTITE",42.09,0.79,21.54,,8.06,0.28,4.85
"PERIDOTITE",42.03,0.64,21.59,,7.26,0.25,5.04
"PERIDOTITE",41.28,1.09,21.65,,10.95,0.33,4.86
"PERIDOTITE",42.01,0.79,21.65,,8.16,0.27,4.9
"PERIDOTITE",41.09,0.81,21.66,,8.12,0.26,4.97
"PERIDOTITE",41.64,0.84,21.7,,8.06,0.29,4.99
"PERIDOTITE",42.23,0.8,21.72,,8.08,0.27,4.92
"PERIDOTITE",41.32,0.81,21.72,,8.21,0.28,4.91
"PERIDOTITE",42.25,0.77,21.74,,7.92,0.26,4.91
"PERIDOTITE",42.06,0.8,21.74,,8.18,0.31,4.89
"PERIDOTITE",41.77,1.17,21.79,,11.11,0.31,5.01
"PERIDOTITE",42.09,1.05,21.8,,8.25,0.27,4.81
"PERIDOTITE",40.97,1.04,21.82,,11.05,0.3,5.1
"PERIDOTITE",42.46,0.81,21.82,,8.04,0.24,4.88
"PERIDOTITE",42.47,0.84,21.83,,7.99,0.28,5.1
"PERIDOTITE",41.32,1.09,21.84,,11.48,0.41,4.81
"PERIDOTITE",41.44,0.75,21.85,,7.91,0.26,4.87
"PERIDOTITE",41.11,1.14,21.86,,11.16,0.36,5.09
"PERIDOTITE",40.28,0.96,21.88,,11.65,0.36,4.83
"PERIDOTITE",41.45,1.05,21.9,,10.98,0.33,5.16
"PERIDOTITE",40.99,1.24,21.92,,10.95,0.35,5.15
"PERIDOTITE",41.82,0.95,21.92,,11.03,0.36,4.81
"PERIDOTITE",41.43,1.11,22.03,,11.21,0.36,5.08
"PERIDOTITE",41.59,1.06,22.08,,11.53,0.37,4.9
"PERIDOTITE",41.5,1,22.11,,11.31,0.39,5.01
"PERIDOTITE",41.92,0.95,22.13,,11.34,0.34,4.83
"PERIDOTITE",41.46,0.93,22.17,,11.21,0.38,4.94
"PERIDOTITE",41.77,0.7,22.37,,9.65,0.3,4.67
"PERIDOTITE",41.61,0.4,22.47,,8.07,0.31,4.57
"PERIDOTITE",41.77,0.78,22.56,,10.8,0.39,4.7
"PERIDOTITE",41.99,0.09,17.94,,4.93,0.17,3.95
"PERIDOTITE",40.55,0.74,21.92,,7.18,0.31,5.06
"PERIDOTITE",42.01,0.05,21.92,,8.05,0.36,5.05
"PERIDOTITE",42.05,0.05,21.98,,6.61,0.34,5.38
"PERIDOTITE",41.2,0.78,21.99,,7.35,0.28,5.02
"PERIDOTITE",42.02,0.06,22.08,,7.43,0.32,5.03
"PERIDOTITE",42.13,0.07,22.18,,6.64,0.35,5.47
"PERIDOTITE",41.6,0.63,22.19,,7.42,0.26,5.03
"PERIDOTITE",41.5,0.7,22.19,,7.84,0.19,5.03
"PERIDOTITE",42.36,0.81,22.2,,6.8,0.17,5.11
"PERIDOTITE",41.04,0.77,22.2,,7.17,0.18,5.17
"PERIDOTITE",40.73,0.76,22.25,,7.88,0.28,5.17
"PERIDOTITE",41.77,0.75,22.26,,7.65,0.29,4.96
"PERIDOTITE",40.89,0.92,22.29,,8.17,0.3,5.1
"PERIDOTITE",40.93,0.89,22.33,,7.7,0.23,5.06
"PERIDOTITE",42.1,0.33,22.42,,8.02,0.36,4.61
"PERIDOTITE",41.94,0.06,22.5,,7.97,0.34,4.55
"PERIDOTITE",42.4,0.89,22.51,,7.74,0.19,4.99
"PERIDOTITE",40.57,0.8,22.58,,8.69,0.32,4.9
"PERIDOTITE",41.23,1.25,22.61,,10.66,0.35,5.22
"PERIDOTITE",40.51,0.25,22.61,,8.61,0.37,4.42
"PERIDOTITE",40.89,1.16,22.64,,9.93,0.27,5
"PERIDOTITE",41.43,1.19,22.66,,10.86,0.37,5.02
"PERIDOTITE",41.85,0.92,22.69,,8.35,0.27,5.13
"PERIDOTITE",41.94,0.93,22.73,,7.75,0.24,4.87
"PERIDOTITE",41.98,0.77,22.74,,8.16,0.24,4.74
"PERIDOTITE",41,0.81,22.78,,7.86,0.22,4.85
"PERIDOTITE",40.62,0.83,22.79,,8.52,0.28,4.78
"PERIDOTITE",42.33,1.13,22.8,,9.16,0.22,5
"PERIDOTITE",41.9,1.02,22.81,,10.79,0.38,4.72
"PERIDOTITE",42.05,1.06,22.81,,8.81,0.27,5.13
"PERIDOTITE",41.97,1.09,22.95,,10.28,0.38,5.13
"PERIDOTITE",41.52,1.02,23.08,,10.04,0.35,4.92
"PERIDOTITE",42.39,0.15,23.11,,5.95,0.16,4.66
"PERIDOTITE",42.14,0.82,23.11,,9.1,0.23,4.82
"PERIDOTITE",41.4,0.79,23.13,,8.37,0.27,4.45
"PERIDOTITE",41.86,1.06,23.16,,9.76,0.22,4.84
"PERIDOTITE",40.62,0.59,23.24,,8.64,0.27,4.14
"PERIDOTITE",42.18,0.8,23.29,,8.81,0.4,5
"PERIDOTITE",40.77,0.63,21.33,,6.62,0.23,5.08
"PERIDOTITE",41.97,0.06,22.09,,7.17,0.37,5.52
"PERIDOTITE",40.94,0.8,22.09,,7.41,0.2,4.93
"PERIDOTITE",40.69,0.12,22.27,,10.93,0.42,5.47
"PERIDOTITE",40.59,0.08,22.98,,8.63,0.49,4.9
"PERIDOTITE",41.88,0.86,23.11,,10.67,0.23,4.75
"PERIDOTITE",40.57,0.53,20.79,,6.21,0.21,5.28
"PERIDOTITE",39.73,0.58,21.04,,6.79,0.23,5.08
"PERIDOTITE",40.03,0.63,21.6,,6.7,0.26,5.07
"PERIDOTITE",42.21,0.06,21.76,,8.25,0.51,4.63
"PERIDOTITE",39.98,1.07,21.9,,7.82,0.26,5.21
"PERIDOTITE",41.34,0.76,22.02,,7.88,0.22,5.03
"PERIDOTITE",39.96,1.11,22.09,,8.81,0.26,5.07
"PERIDOTITE",40.98,0.84,22.13,,6.96,0.21,4.83
"PERIDOTITE",40.02,0.62,22.21,,7.48,0.23,4.83
"PERIDOTITE",41.04,0.74,22.28,,7.62,0.23,5.06
"PERIDOTITE",40.94,0.73,22.41,,7.58,0.25,4.91
"PERIDOTITE",40.32,0.76,22.43,,7.76,0.21,4.96
"PERIDOTITE",40.94,0.88,22.43,,8.12,0.28,5.02
"PERIDOTITE",40.13,0.73,22.47,,7.98,0.23,4.91
"PERIDOTITE",40.78,0.83,22.54,,8.45,0.24,4.94
"PERIDOTITE",40.27,1.08,22.55,,11.41,0.33,5.04
"PERIDOTITE",41.12,0.14,22.6,,8,0.34,5.03
"PERIDOTITE",39.92,0.97,22.82,,11.03,0.31,4.5
"PERIDOTITE",42.45,0.12,19.86,,4.44,0.19,4.94
"PERIDOTITE",42.25,0.69,20.88,,5.91,0.15,5.22
"PERIDOTITE",42.35,0.66,21.42,,5.94,0.16,4.99
"PERIDOTITE",41.95,0.09,21.81,,6.79,0.36,5.33
"PERIDOTITE",41.82,0.15,21.89,,7.26,0.47,5.09
"PERIDOTITE",41.78,0.17,22.4,,7.03,0.43,5.02
"PERIDOTITE",41.74,1.1,22.63,,8.17,0.2,5.12
"PERIDOTITE",41.88,1.14,22.63,,9.48,0.22,5.11
"PERIDOTITE",40.54,0.26,22.69,,7.37,0.37,4.45
"PERIDOTITE",42.09,1.18,22.83,,9.39,0.22,4.89
"PERIDOTITE",42.31,0.91,22.93,,7.74,0.19,5.04
"PERIDOTITE",41.96,0.85,22.99,,9.15,0.28,4.89
"PERIDOTITE",41.92,0.83,23.02,,9,0.27,4.79
"PERIDOTITE",41.51,1.1,23.02,,9.91,0.28,4.94
"PERIDOTITE",40.05,0.22,23.13,,7.95,0.31,4.36
"PERIDOTITE",41.59,0.78,21.22,,6.68,0.25,5.44
"PERIDOTITE",41.72,0.62,21.59,,6.39,0.27,5.13
"PERIDOTITE",42.21,0.02,21.68,,7.19,0.33,5.58
"PERIDOTITE",41.15,0.3,21.69,,7.87,0.42,4.97
"PERIDOTITE",40.99,0.72,21.71,,7.02,0.21,5.11
"PERIDOTITE",41.04,0.71,22,,7.24,0.23,5.24
"PERIDOTITE",41.85,0.03,22,,7.45,0.49,4.69
"PERIDOTITE",39.54,0.08,22.07,,7.7,0.5,5.17
"PERIDOTITE",41.33,0.68,22.19,,7.8,0.23,5.05
"PERIDOTITE",41.46,0.64,22.31,,7.79,0.2,4.89
"PERIDOTITE",41.01,0.78,22.48,,7.73,0.18,5.14
"PERIDOTITE",41.84,1.27,22.51,,10,0.36,5.35
"PERIDOTITE",41.93,1.11,22.55,,10.35,0.36,4.98
"PERIDOTITE",41.27,0.16,22.61,,9.15,0.46,4.62
"PERIDOTITE",41.99,1.2,22.75,,9.42,0.21,5.36
"PERIDOTITE",41.77,1.3,22.77,,9.78,0.22,5.06
"PERIDOTITE",42.58,1.02,22.88,,8.45,0.28,4.86
"PERIDOTITE",40.71,0.25,22.94,,8.01,0.52,4.41
"PERIDOTITE",41.66,0.99,23,,10.11,0.28,4.79
"PERIDOTITE",41.31,0.02,23.09,,8.02,0.39,4.24
"PERIDOTITE",42.19,0.86,23.11,,8.48,0.2,4.8
"PERIDOTITE",42.6,0.63,23.65,,8.74,0.26,4.03
"PERIDOTITE",42.39,0.08,18.58,,5.2,0.16,2.86
"PERIDOTITE",40.49,0.07,18.61,,5.49,0.2,4.02
"PERIDOTITE",41.68,1.04,19.78,,6.01,0.26,5.95
"PERIDOTITE",40.64,0.62,20.96,,6.51,0.2,5.12
