,0,1,2,3,4,5
184,ROCK NAME,TIO2,CAO,MGO,MNO,0.7310951977618625
185,ROCK NAME,TIO2,CAO,MGO,K2O,0.7313512851147239
186,ROCK NAME,TIO2,CAO,MGO,NA2O,0.7314929079634941
187,ROCK NAME,TIO2,CAO,MGO,P2O5,0.7316633327271604
188,ROCK NAME,TIO2,CAO,MNO,K2O,0.7318771763216186
189,ROCK NAME,TIO2,CAO,MNO,NA2O,0.731983805668014
190,ROCK NAME,TIO2,CAO,MNO,P2O5,0.7321141788855557
191,ROCK NAME,TIO2,CAO,K2O,NA2O,0.732366848686291
192,ROCK NAME,TIO2,CAO,K2O,P2O5,0.7326169001471226
193,ROCK NAME,TIO2,CAO,NA2O,P2O5,0.732776260267667
194,ROCK NAME,TIO2,MGO,MNO,K2O,0.7329729466481582
195,ROCK NAME,TIO2,MGO,MNO,NA2O,0.7328962924200999
196,ROCK NAME,TIO2,MGO,MNO,P2O5,0.7326902589169911
197,ROCK NAME,TIO2,MGO,K2O,NA2O,0.732682954905175
198,ROCK NAME,TIO2,MGO,K2O,P2O5,0.7324848363374306
199,ROCK NAME,TIO2,MGO,NA2O,P2O5,0.7324881291547937
200,ROCK NAME,TIO2,MNO,K2O,NA2O,0.7321606591921662
201,ROCK NAME,TIO2,MNO,K2O,P2O5,0.7319351593278964
202,ROCK NAME,TIO2,MNO,NA2O,P2O5,0.731730593799557
203,ROCK NAME,TIO2,K2O,NA2O,P2O5,0.7317282088523895
204,ROCK NAME,AL2O3,CR2O3,FEOT,CAO,0.7318972505964352
205,ROCK NAME,AL2O3,CR2O3,FEOT,MGO,0.7320600411215276
206,ROCK NAME,AL2O3,CR2O3,FEOT,MNO,0.7319368172830307
207,ROCK NAME,AL2O3,CR2O3,FEOT,K2O,0.7317325955146442
208,ROCK NAME,AL2O3,CR2O3,FEOT,NA2O,0.7318711178360275
209,ROCK NAME,AL2O3,CR2O3,FEOT,P2O5,0.73173698729254
210,ROCK NAME,AL2O3,CR2O3,CAO,MGO,0.7317616559322694
211,ROCK NAME,AL2O3,CR2O3,CAO,MNO,0.7319876722392418
