ROCK NAME,SIO2,MGO,CAO,MNO
DUNITE,36.3,43.8,0.06,0.11
DUNITE,39.2,45.6,0.19,0.11
DUNITE,41.3,43.4,1.7,0.11
DUNITE,45.7,43.0,1.2,0.09
DUNITE,38.7,45.0,0.35,0.1
DUNITE,37.3,34.4,0.58,0.14
DUNITE,42.6,45.3,0.87,0.09
DUNITE,42.0,43.1,0.16,0.1
DUNITE,42.7,43.4,0.15,0.12
DUNITE,40.3,46.0,0.27,0.16
DUNITE,37.9,39.5,0.04,0.29
DUNITE,37.9,46.31,0.56,0.14
DUNITE,25.5,28.84,0.2,0.12
DUNITE,34.24,41.85,0.28,0.1
DUNITE,32.4,35.39,0.1,0.1
DUNITE,30.36,38.08,0.2,0.13
DUNITE,34.67,36.74,0.19,0.14
DUNITE,37.52,45.64,0.24,0.13
DUNITE,37.16,47.4,0.3,0.12
DUNITE,33.42,41.72,0.09,0.13
DUNITE,30.9,38.23,0.07,0.11
DUNITE,35.84,44.18,0.32,0.12
DUNITE,36.62,42.76,0.26,0.17
DUNITE,8.16,18.04,0.8,0.11
DUNITE,32.98,36.94,0.75,0.14
DUNITE,8.74,21.62,0.22,0.14
DUNITE,37.62,46.56,0.22,0.12
DUNITE,34.92,41.38,0.14,0.15
DUNITE,37.54,45.37,0.2,0.17
DUNITE,33.55,38.57,1.27,0.16
DUNITE,38.01,37.96,0.0,0.06
DUNITE,38.01,37.96,0.0,0.06
DUNITE,38.01,37.96,0.0,0.06
DUNITE,36.92,34.25,0.64,0.1
DUNITE,37.0,39.42,1.8,0.08
DUNITE,38.2,38.0,0.8,0.1
DUNITE,38.26,38.64,0.5,0.21
DUNITE,38.04,38.07,0.98,0.14
DUNITE,36.74,40.31,0.14,0.1
DUNITE,39.47,41.21,0.15,0.11
DUNITE,38.14,41.19,0.6,0.12
DUNITE,38.3,41.71,0.44,0.1
DUNITE,35.25,41.35,0.1,0.09
DUNITE,35.54,42.14,0.21,0.08
DUNITE,40.8,43.43,0.54,0.1
DUNITE,39.21,44.36,0.25,0.12
DUNITE,39.47,40.95,0.15,0.1
DUNITE,34.5,38.94,0.37,0.11
DUNITE,34.44,43.4,0.2,0.09
DUNITE,38.43,39.78,0.5,0.11
DUNITE,33.62,42.04,0.03,0.1
DUNITE,43.7,44.64,2.06,0.129
DUNITE,34.44,39.81,1.53,0.14
DUNITE,36.98,43.24,0.64,0.12
DUNITE,32.71,41.42,0.06,0.14
DUNITE,33.33,42.98,0.11,0.11
DUNITE,32.7,42.54,0.07,0.12
DUNITE,33.01,40.31,0.14,0.13
HARZBURGITE,42.92,45.65,0.8,0.12
HARZBURGITE,43.65,46.21,0.41,0.131
HARZBURGITE,44.09,45.72,0.61,0.132
HARZBURGITE,43.54,46.54,0.44,0.13
HARZBURGITE,43.95,45.9,0.82,0.128
HARZBURGITE,43.95,44.51,0.8,0.132
HARZBURGITE,43.74,46.14,0.96,0.13
HARZBURGITE,39.53,33.23,0.17,0.07
HARZBURGITE,36.59,35.81,0.15,0.07
HARZBURGITE,36.57,29.23,3.51,0.17
HARZBURGITE,42.59,32.12,2.65,0.13
HARZBURGITE,42.96,46.19,0.54,0.13
HARZBURGITE,43.36,47.08,0.57,0.13
HARZBURGITE,40.0,37.52,0.26,0.09
HARZBURGITE,38.59,40.2,0.55,0.1
HARZBURGITE,40.78,42.04,0.99,0.13
HARZBURGITE,40.82,41.16,1.64,0.12
HARZBURGITE,43.16,33.67,0.08,0.12
HARZBURGITE,37.22,40.12,1.53,0.17
