ROCK NAME,SIO2,TIO2,AL2O3,MGO,CAO,MNO
DUNITE,45.7,0.22,19.1,9.9,15.7,0.13
DUNITE,38.4,0.02,0.28,46.8,0.12,0.14
DUNITE,37.6,0.02,0.2,41.8,0.22,0.16
DUNITE,38.9,0.02,0.41,46.9,0.12,0.14
DUNITE,38.3,0.04,0.39,44.6,0.24,0.26
DUNITE,40.1,0.04,0.46,43.3,0.87,0.21
DUNITE,40.3,0.02,0.21,46.9,0.25,0.17
DUNITE,40.0,0.05,0.34,47.1,0.32,0.16
DUNITE,39.2,0.04,0.81,35.6,3.9,0.19
DUNITE,39.3,0.03,0.2,46.7,0.27,0.14
DUNITE,38.5,0.03,0.22,46.7,0.15,0.14
DUNITE,37.2,0.03,0.4,42.1,0.09,0.18
DUNITE,36.4,0.02,1.5,40.3,0.1,0.19
DUNITE,38.1,0.08,2.2,34.4,3.2,0.24
DUNITE,35.7,0.02,0.56,41.3,0.6,0.22
DUNITE,39.1,0.02,0.56,43.2,1.3,0.27
DUNITE,37.2,0.03,1.0,45.0,0.5,0.22
DUNITE,35.0,0.1,1.2,37.6,0.52,0.32
DUNITE,37.2,0.02,0.19,40.5,1.2,0.23
DUNITE,26.6,0.08,3.0,32.4,0.12,0.24
DUNITE,38.0,0.02,0.16,39.1,2.3,0.26
DUNITE,37.4,0.02,0.32,41.7,0.58,0.26
DUNITE,36.7,0.02,0.18,42.5,0.35,0.24
DUNITE,36.3,0.04,0.3,43.6,0.13,0.08
DUNITE,36.3,0.03,0.3,43.8,0.06,0.11
DUNITE,39.2,0.04,0.5,45.6,0.19,0.11
DUNITE,41.3,0.01,2.5,43.4,1.7,0.11
DUNITE,38.7,0.02,0.49,45.0,0.35,0.1
DUNITE,42.6,0.01,1.1,45.3,0.87,0.09
DUNITE,42.7,0.01,0.6,43.4,0.15,0.12
DUNITE,40.3,0.03,1.0,46.0,0.27,0.16
DUNITE,37.9,0.09,0.88,39.5,0.04,0.29
DUNITE,25.5,0.08,6.24,28.84,0.2,0.12
DUNITE,32.4,0.04,2.29,35.39,0.1,0.1
DUNITE,30.36,0.04,2.25,38.08,0.2,0.13
DUNITE,34.67,0.04,3.8,36.74,0.19,0.14
DUNITE,30.9,0.03,2.06,38.23,0.07,0.11
DUNITE,8.16,0.24,9.64,18.04,0.8,0.11
DUNITE,32.98,0.08,3.18,36.94,0.75,0.14
DUNITE,8.74,0.16,8.36,21.62,0.22,0.14
DUNITE,34.92,0.02,1.02,41.38,0.14,0.15
DUNITE,38.01,0.05,0.83,37.96,0.0,0.06
DUNITE,38.01,0.05,0.83,37.96,0.0,0.06
DUNITE,38.01,0.05,0.83,37.96,0.0,0.06
DUNITE,36.92,0.03,3.65,34.25,0.64,0.1
DUNITE,37.0,0.2,0.92,39.42,1.8,0.08
DUNITE,38.2,0.18,1.03,38.0,0.8,0.1
DUNITE,38.26,0.08,1.1,38.64,0.5,0.21
DUNITE,38.04,0.08,1.21,38.07,0.98,0.14
DUNITE,33.62,0.01,0.07,42.04,0.03,0.1
DUNITE,43.7,0.007,0.63,44.64,2.06,0.129
DUNITE,34.44,0.07,3.67,39.81,1.53,0.14
DUNITE,36.98,0.02,0.53,43.24,0.64,0.12
DUNITE,32.71,0.02,0.31,41.42,0.06,0.14
DUNITE,33.33,0.03,0.25,42.98,0.11,0.11
DUNITE,32.7,0.03,0.23,42.54,0.07,0.12
HARZBURGITE,42.92,0.02,0.81,45.65,0.8,0.12
HARZBURGITE,43.65,0.0,0.5,46.21,0.41,0.131
HARZBURGITE,44.09,0.0,0.46,45.72,0.61,0.132
HARZBURGITE,43.54,0.0,0.56,46.54,0.44,0.13
HARZBURGITE,43.95,0.015,0.76,45.9,0.82,0.128
HARZBURGITE,43.95,0.015,1.07,44.51,0.8,0.132
HARZBURGITE,43.74,0.01,0.75,46.14,0.96,0.13
HARZBURGITE,39.53,0.18,3.11,33.23,0.17,0.07
HARZBURGITE,36.59,0.18,2.91,35.81,0.15,0.07
HARZBURGITE,36.57,0.19,3.78,29.23,3.51,0.17
HARZBURGITE,42.59,0.22,2.77,32.12,2.65,0.13
HARZBURGITE,42.96,0.01,0.73,46.19,0.54,0.13
HARZBURGITE,43.36,0.02,0.65,47.08,0.57,0.13
HARZBURGITE,40.0,0.06,2.84,37.52,0.26,0.09
HARZBURGITE,38.59,0.01,0.75,40.2,0.55,0.1
HARZBURGITE,40.78,0.02,0.88,42.04,0.99,0.13
HARZBURGITE,40.82,0.01,0.89,41.16,1.64,0.12
HARZBURGITE,43.16,0.02,0.84,33.67,0.08,0.12
HARZBURGITE,37.22,0.35,0.62,40.12,1.53,0.17
HARZBURGITE,41.49,0.09,0.26,43.38,1.18,0.15
HARZBURGITE,38.87,0.21,0.92,40.03,1.49,0.12
HARZBURGITE,41.07,0.12,1.03,41.43,1.58,0.18
HARZBURGITE,43.21,0.05,0.64,43.08,0.54,0.17
HARZBURGITE,40.46,0.03,1.48,38.94,0.08,0.1
HARZBURGITE,40.89,0.02,1.65,38.42,0.0,0.06
HARZBURGITE,40.07,0.03,1.73,37.72,0.0,0.06
HARZBURGITE,46.6,0.29,3.74,24.68,5.97,0.25
HARZBURGITE,42.64,0.08,2.78,36.84,2.87,0.13
HARZBURGITE,38.5,0.02,0.9,36.4,0.1,0.08
HARZBURGITE,38.0,0.02,0.9,37.85,0.11,0.11
HARZBURGITE,41.95,0.12,1.9,34.25,0.28,0.1
HARZBURGITE,55.23,0.0,0.54,35.67,0.75,0.12
HARZBURGITE,44.69,0.0,0.64,45.23,0.24,0.13
HARZBURGITE,44.31,0.0,0.37,45.81,0.37,0.12
HARZBURGITE,43.89,0.0,0.6,45.71,0.56,0.12
HARZBURGITE,38.55,0.006,0.42,38.01,0.35,0.11
