SIO2,CAO,AL2O3,MGO
44.13,2.76,4.06,45.63739
45.07,3.68,4.06,45.10382
42.93,7.88,4.22,42.80669
45.45,3.53,4.464,45.56
43.98,4.05,4.1,44.01527
44.6,3.42,4.49,46.6
46.01,4.03,4.1,45.41
45.18,3.26,4.12,45.02352
45.46,3.32,4.55,47.13
44.72,3.34,4.14,45.681
43.8,3.63,4.14,46.29788
53.39,2.09,4.14,38.33
45.03,2.96,4.53,46.76
43.87,2.92,4.56,46.47536
52.1,22.96,5.17,18.94
40.53,3.49,4.18,46.97
42.71,6.13,4.18,43.71
46.33,3.4,4.18,44.2408
45.38,3.71,4.52,45.3605
41.96,3.33,4.49,46.03598
44.65,3.99,4.22,44.95827
43.3,4.92,4.26,43.28234
45.04,3.59,4.26,45.29595
55.08,0.49,4.54,39.97
45.26,2.84,4.665,46.82
46.15,4.05,4.64,43.75
44.7,3.27,4.31,45.64372
44.15,3,4.74,46.42
44.18,3.46,4.4,45.31719
45.19,3.49,4.803,45.81
44.7,4.14,4.85,44.84849
43.42,3.04,4.985,47.77
48.2,6.39,4.46,40.14785
45.63,4.18,4.98,44.67223
52.74,3.35,4.49,38.24
44.56,3.87,4.53,45.32453
44.96,3.64,5.06,43.55634
45.37,3.53,4.988,45.45
45.14,3.66,4.95,45.7282
44.11,3.14,4.66,45.25595
46.79,2.45,4.66,45.30688
45.3,4.1,4.7,44.7
47.97,3.84,4.72,40.49376
48.05,2.68,4.74,44.11991
45.53,3.43,5.171,45.21
44.69,3.77,5.15,44.38483
44.55,3.7,5.19,45.2
51.41,22.22,5.7,18.21
51.38,21.96,5.56,18.55
48.02,2.97,5.13,42.24406
43.68,4.74,5.547,45.37
45.3,4.33,5.25,43.5085
43.86,1.92,4.92,47.29455
44.21,6.62,5.39,42.00497
51.81,14.16,4.96,26.42
47.7,4.04,4.99,41.66
52.09,22.07,6.21,18.15
51.32,2.42,5.17,38.46231
49.76,1.94,5.65,40.3477
45.8,5.34,5.76,41.52
41.44,2.96,5.4,46.25306
46,4.9,5.46,42
52.06,20.78,5.73,17.68
52.41,5.43,5.58,34.77
43.42,2.84,6.86,45.67356
42.65,3.47,5.98,43.46709
51.85,20.78,6.99,17.63
41.02,3.43,6.33,47.36322
44.6,3.34,7.36,43.73
51.55,20.94,7.3,17.87
41.44,4.45,6.75,44.69972
48.09,10.53,7.02,31.3981
48.67,15.25,7.55,25.31
44.25,8.14,7.88,35.54356
44.82,8.12,8.41,36.30093
48.93,8.98,8.69,31.05144
38.77,11.03,9.31,28.695
41.33,9.01,10.84,24.79267
41.85,8.57,11.01,25.0351
44.5,9.03,11.22,22.95426
42.56,8.72,11.28,24.4362
43.49,8.6,11.88,23.67417
44.34,10.53,12.04,19.70166
44.34,10.53,12.04,19.70166
44.11,9.64,12.55,21.59306
43.78,8.92,14.06,22.33094
43.31,9.15,14.17,21.56186
46.1,8.18,14.42,20.06
33.32,0.14,0.07,48.45008
39.8,0.05,0.04,56.43829
36.3,0.21,0.06,51.56725
33.54,0.21,0.26,47.22834
35.25,0.1,0.28,47.76886
41.79,0.58,0.09,57.52
41.3,0.16,0.1,58.14
40.6,0.66,0.11,58.53
34.44,0.2,0.44,49.71098
41.47,0.48,0.12,57.7
40.2,0.21,0.3,57.69767
46.26,0.49,0.12,51.52273
46.6,0.32,0.13,50.60172
34.17,0.14,0.41,47.39706
40.12,0.34,0.15,57.80357
43.92,0.08,0.16,53.9494
41.12,0.69,0.18,56.31998
39.21,0.25,0.41,51.68685
41.87,0.14,0.68,55.91463
42.27,0.41,0.38,55.3413
43.28,0.17,0.19,56.09637
38.7,3.48,0.19,56.36057
33.01,0.14,0.2,48.3111
33.01,0.14,0.47,48.3111
39,0.05,0.2,51.61575
40,0.03,0.43,58.61059
41.03,0.28,0.22,58.54
40.4,0.24,0.23,58.04
40.5,0.2,0.23,58.56931
40.04,0.5,0.24,58.52
40,0.4,0.25,48.4617
39.91,0.28,0.27,58.41
40.83,0.05,0.47,58.43026
39.47,0.15,0.67,48.06937
37.02,0.16,0.28,53.58962
40.48,0.08,0.5,57.49211
40.2,0.32,0.3,57.391
41.66,0.43,0.3,57.02275
39.89,0.12,0.682,56.8699
39.8,0.33,0.34,48.392
42.45,0.37,0.64,55.43938
40.97,0.35,0.34,56.74141
40.52,0.38,0.34,57.48
39.41,0.47,0.34,59.07
40.5,0.45,0.5,57.45162
38.3,0.44,0.73,48.29967
39.68,0.03,0.61,59.0905
38.31,0.19,0.38,55.69345
36.74,0.14,0.81,46.94462
39.47,0.15,0.7,47.56664
37.55,7.34,0.4,52.67462
38.8,0.24,0.4,59.21
42.28,0.27,0.85,55.17524
40.77,0.02,1.68,57.54
41.64,0.13,0.44,56.44634
40.09,0.14,0.8,57.93454
39.75,0.4,0.45,57.4
34.5,0.37,0.71,45.51169
43.41,0.29,1.01,53.8216
40.15,0.18,0.48,56.82517
40.22,0.34,0.5,57.39
39.9,0.75,0.5,56.1779
39.49,0.49,0.51,58.81
39.77,0.2,0.52,58.17
39.57,0.36,0.53,57.85
40.89,0.4,1,55.79031
39.76,0.47,0.55,56.91
43,0.1,0.56,54.73345
41.8,0.43,0.57,56.71
40.8,0.54,0.93,50.66695
43.58,0.7,0.61,53.42
39.89,0.73,0.61,58.44
43.1,0.67,0.62,54.60959
39.23,0.69,0.62,55.74124
38.14,0.6,1.04,48.45392
43.7,2.06,0.63,53.7199
40.04,0.3,0.64,58.94
38.92,0.38,0.64,74.26752
38.43,0.5,0.99,46.82816
39.21,0.56,0.65,57.28
40.56,2.4,0.909331657,55.84253055
39.72,0.29,0.7,57.3
38.75,0.5,0.7,54.75
39,0.6,1.3,57.3
38.61,1.37,0.71,55.97
39.64,0.27,0.73,57.62
43.2,0.85,0.74,54.27
39.1,0.8,0.74,58.22
44.07,0.54,1.21,52.65069
42.68,0.78,0.77,53.54362
42.54,0.71,0.78,54.23766
44.24,0.84,0.78,52.9216
44.52,0.84,1.21,52.19251
42.61,0.4,0.8,54.61656
39.6,0.35,0.8,57.1
42.39,0.76,0.81,54.13958
39.59,0.23,0.83,59.18
35.86,0,1.14,48.02447
39.33,0.18,1.23,58.80395
43.53,0.27,0.87,39.7032
39.75,0.43,0.87,58.65
39.04,0.04,1.12,59.11981
39.8,0.5,1.44,58
39.4,0.7,1.41,57.8
41.57,1.21,0.91,54.17
38.78,0.05,1.91,57.637
35.22,0.62,0.94,58.14
40,0.53,0.98,43.0011
39.94,0.31,0.98,58.02
39.29,0.07,1.54,43.90836
41.79,3.3,1.26,51.7381
40.99,4.32,1.678,49.51
39.59,0.3,1.09,58.25
40.85,2.46,1.19,54.39
39.57,0.44,1.26,57.64
39.36,0.61,1.27,57.52
38.42,0.27,1.28,56.37862
38.3,0.14,3.98,55.97587
41.82,5.02,1.986,49.73
43.26,1.41,1.42,52.27446
38.59,0.3,1.63,46.80236
40.27,0.96,1.44,56.89
40.74,0.07,1.48,57.38778
39.91,1.57,1.65,56.42
43.99,0.64,1.72,52.16129
40.65,0.05,1.73,56.67062
45.88,0.81,2.248,50.3
45.91,0.81,2.251,50.59
39.72,0.81,1.84,56.01
38.37,1.69,1.97,52.78579
40.7,0.72,3.05,52.69688
42.85,1.12,2.04,52.37678
39.99,0.57,2.59,54.94224
45.22,1.59,2.59,48.67
43.01,8.84,2.951649906,45.33150989
39.2,0.22,3.01,46.86224
40.1,2.1,3.36,51.5
43.59,2.52,3.33,48.92
43.83,2.53,3.51,47.94
38.24,1.26,4.68,53.87741
39.38,1.08,3.49,43.71771
42.72,2.45,3.83,48.03
41.43,1.11,4.45,50.96
36.93,0.23,5.78,56.54
36.69,0.59,4.83,56.27532
40.2,1.07,8.99,46.47375
38.38,1.17,9.6,50.41
36.82,0.48,10.24,52.12
44.93,12.37,16.72,16.9
45.82,13.9,17.61,15.44
48.41,12.62,22.55,11.97
46.17,9.63,13.05,22.47063
47.29,16.07,18.54,14.66
44,12.28,11.92,25.80175
43.98,10.31,11.76,25.93751
43.2,9.27,8,31.11206
50.69,17.97,4.95,23.45945
47.09,11.83,6.52,31.53285
45.32,10.38,6.44,35.09719
50.21,17.7,1.77,27.33415
42.53,7.23,7.44,34.654
49.02,16.59,2.33,28.83496
46.8,13.71,5.92,32.45
42.59,7.76,4.16,43.80092
42.32,10.28,5.99,34.84142
43.47,8.67,4.04,40.58437
40.62,6.05,5.44,37.88227
44.5,10.45,4.83,37.79237
41.7,7.5,3.98,37.0698
44.5,8.87,3.57,39.66163
42.27,5.81,5.07,44.02054
43.64,9.06,3.79,40.35436
38.44,3.46,4.58,43.06621
42.61,10.39,1.34,40.1001
45.42,7.54,2.89,43.2684
40.54,6,3.32,48.0975
47.15,9.85,1.62,39.97163
42.96,6.12,6.55,43.94932
41.2,5.73,3.75,45.5557
42.61,7.99,6.696,40.41776
42.56,7.14,2.99,46.55
41.9,7.29,1.94,45.52407
41.3,5.05,2.29,47.59277
41.7,5.22,2.55,49.44355
42.59,6.51,3.93,46.17
39.84,2.71,2.98,52.70604
42.36,4.57,3.14,48.64
40.93,4.93,1.83,49.566
41,4,3,49
41.05,4.23,2.669,48.93891
43.57,6.59,1.19,48.22
44.44,4,3.13,46.6
40.35,3.78,5.79,48.95617
42.32,4.15,1.26,50.12033
40.48,2.12,3.16,53.06053
42.16,4.03,1.9,49.92022
41.34,2.82,1.12,53.00354
41.96,4.34,0.42,52.5679
42.25,3.2,1.99,50.43304
38.48,1.15,1.54,55.4896
42.66,3.19,1.8,49.78042
41.49,2.96,1.33,52.34012
42.69,3.38,2.36,50.62
42.7,2.82,1.97,50.62668
42.14,2.59,2.02,51.01
42.54,2.82,0.86,50.78
42.8,3.4,0.46,52.3
42.47,3.09,1.48,51.14019
41.39,4.54,1.29,51.155254
41.26,4.58,1.34,51.265234
39.75,1.36,4.39,52.73597
38.38,1.31,2.57,56.09812
43.39,2.34,0.96,51.93
42.08,2.44,1.22,53.69
42.01,2.15,1.02,53.48
44.03,1.84,0.91,51.96
41.44,3.03,2.22,51.677298
40.05,1.78,1.1,54.65
41.09,2.98,0.61,52.77
40.53,1.7,2.75,52.61021
41.5,2.49,0.72,54.68
41.75,1.72,1.03,53.98132
39.87,0.37,0.65,58.87
41.35,1.36,0.17,56.72
29.13,0.16,0.86,49.57575
29.39,0.14,0.98,49.34696
33.64,0.07,0.44,46.45896
32.18,0.32,0.58,47.67685
35.69,3.52,0.07,41.96623
35.35,0.07,0.5,45.63179
35.53,0.35,0.44,45.67593
35.12,0.08,0.45,46.36977
38.17,0.07,1.1,42.64027
34.61,0.08,1.05,46.402
36.23,0.06,0.43,45.53856
34.14,0.02,1.26,47.10534
35.9,0.31,0.53,46.06058
36.37,0.29,0.56,45.74502
36.49,0.5,0.65,45.433
36.97,0.41,0.8,45.07846
35.26,0.33,0.82,46.89742
36.01,0.66,0.68,46.21836
38.19,0,1.29,44.24964
36.41,0.43,0.57,46.72472
38.08,0.81,1.31,43.94765
36.46,0.22,0.4,47.11129
35.45,0.36,0.5,48.03553
37.09,0.58,0.87,45.86492
37.58,0.46,0.53,46.13876
38.92,0.58,1,44.33987
37.46,0.03,1.09,46.21614
40.8,0.46,0.79,42.86004
37.57,0.55,0.82,46.01351
37.78,0.54,0.55,46.08886
39.7,0.44,0.27,44.13895
40.8,0.64,0.32,43.19378
36.84,0.63,0.7,46.98513
38.41,0.56,1.28,44.98219
35.72,0.16,0.4,49.15725
37.57,0.55,1.03,46.55028
36.81,0.33,0.4,48.2425
38.42,0.79,0.91,45.73755
37.76,0.69,0.85,46.65856
38.7,0.62,0.96,45.96462
40.93,0.74,1.46,43.33179
38.56,0.86,0.91,46.1422
39.21,1.66,0.8,44.81563
38.85,0.89,1,45.89119
38.35,0.53,0.86,46.91331
38.62,0.79,0.93,47.01523
38.61,0.23,0.59,48.55553
38.77,1.84,0.75,46.52225
38.09,0.13,0.28,49.93624
40.44,0.13,0.68,47.24673
39.64,2.42,2.06,44.62207
40.02,0.47,1.52,47.54099
39.61,0.8,0.98,48.24089
40.36,0.81,1.45,47.06452
40.6,0.44,0.39,48.00665
38.79,1.2,3.79,46.29548
41.52,0.06,1.13,47.65605
40.2,0.35,0.65,49.30664
40.2,0.27,0.26,50.57685
40.7,0.6,0.47,50.05109
41.46,9.48,1.1,39.73
40.7,0.6,0.71,50.05109
42.86,0.42,0.52,48.223
42.07,3.5,2.04,45.1
40.64,1.08,0.9,50.18322
41.24,0.08,0.68,51.78023
43.97,8.83,1.22,40.17
40.57,1.25,1.19,51.99
41.64,0.52,0.64,52.65165354
43.68,2.93,2.65,46.74174
43.23,1.52,1.66,49.88113
43.38,1.37,1.76,49.78891
42.6,0.19,1.2,52.3708
42.98,1.1,0.94,51.39
43.1,1.57,1.2,50.7415
43.32,4.08,2.55,46.55
43.8,0.85,0.88,51.04605
42.25,0.61,0.47,53.27
43.41,1.34,1.68,50.26881
46,1.32,1.82,47.41584
42,0,1,54
46.53,2.57,1.74,45.89
43.88,1.94,2.16,48.75709
43.63,0.84,1.34,51.10921
41.87,1.17,1.11,52.72947
43.9,1.76,1.6,49.7213
43.38,1.17,1.21,51.24507
43.65,1.13,1.65,50.61638
38.99,0.69,0.83,56.47828
42.71,0.89,0.96,52.53857
43.6,1.83,1.4,50.291
37.3,0.38,2.3,57.2405
45.1,0.74,0.76,50.73
42.12,0.98,1.17,52.8
43.85,0.7,0.9,51.85
43.06,1.1,1.2,51.74
40.85,1.45,0.83,53.34
43.4,0.8,1.25,51.65
43.42,0.8,1.24,51.65
43.99,0.63,0.93,51.92689
43.7,1.09,1.21,51.40887
43.29,1.22,2.55,50.36
42.55,0.68,0.65,53.65151
42.45,1.35,1.96,51.63749
44.85,0.09,1.25,51.07241
42.59,0.92,1.08,52.87809
42.38,0.93,0.85,53.42564
42.95,0.04,0.05,54.6282
41.5,0.97,4.9,50.13584
39.5,0.06,1.2,56.3182
42.82,1.41,0.55,52.74
43.54,1.07,0.91,52.13978
42.43,0.56,0.8,53.84534
42.7,1.11,1.2,52.7607
38.8,0.32,1.6,57.0799
41.89,0.98,0.65,53.78
42.93,1.27,0.79,52.21
39.64,0.27,0.7,57.03
44.42,0.42,0.5,52.45574
42.03,2.06,1.67,51.18062
42.36,0.64,1.44,53.25436
41.86,2.28,0.74,52.5
43.87,1.1,1.14,51.34716
43.25,0.65,0.5,53.45
43.73,0.94,1.659,51.51705
41.99,0.65,0.66,54.51484
43.49,0.79,1.39,52.08567
39.7,0.78,0.82,56.51504134
43.66,0.59,0.53,53.03
44.24,0.73,0.7,52.29402
41.87,0.1,0.57,55.4
43.29,0.78,1.45,52.17
43.38,0.69,0.8,52.95766
42.12,1.47,0.66,53.4
42.82,1.46,0.9,52.79736
44.4,7.27,6.86,38.84304
42.86,0.64,1.28,53.22433
42.63,0.72,0.46,54.07
43.8,1.01,1.02,52.11231
42.43,2.36,0.84,51.96
42.4,1.68,0.76,52.57
42.46,1.52,0.6,53.05
43.56,0.72,1,52.76928
44.41,0.71,1.3,51.54
43.11,0.04,0.03,54.91335
42.53,1.38,0.8,53.12
43.27,1.62,1.62,51.44
42.58,0.89,0.54,53.8
42.68,1.54,1.49,52.29786
43.72,0.8,0.63,52.74
44.83,1.33,1.2,50.71554
43.23,0.73,0.64,53.36
42.12,0.71,0.51,54.59
43.72,0.91,0.58,52.74
43.48,0.65,0.55,53.32
41.4,0.2,0.6,55.89322
42.6,0.51,0.73,54.24
43.58,0.8,0.57,52.82
45.18,1.06,0.87,51.0818
41.39,0.62,0.81,55.37777
42.46,0.79,2,52.36
42.21,1.13,1.24,53.47424
41.57,0.57,1.54,54.36
43.38,0.69,0.57,53.37
43.3,0.6,1.217,53.08
47.4,0.17,0.7,49.76526
43.31,0.86,0.88,53.0808
43.94,1.06,1.41,51.66403
43.34,0.52,0.47,53.5
42.95,0.54,0.41,54.09
42.85,1.37,1.97,51.91143
43.9,1.34,1.4,51.5112
44.4,1.06,0.62,52.02
42.9,0.91,0.63,53.63
43.88,0.73,0.52,52.82
39.59,0.29,0.52,57.84691364
45.77,0.66,1.46,50.21
44.47,0.49,1.48,51.89
44.5,1.2,1.64,50.71244
43.24,0.03,0.04,55.05537
43.7,1.17,2.26,50.98312
44.2,1.01,1.19,51.82685
43.8,1.35,1.05,52.10777
43.41,0.03,0.06,54.89224
43.88,0.83,0.86,52.78837
45.77,0.28,0.3,51.99967
43.5,1.13,0.94,52.76312
42.34,0.82,0.43,54.57
41.27,1.06,0.81,55.17
39.75,0.55,0.45,57.55680097
42.6,0.72,1.2,53.8809
43.74,0.68,0.81,52.97858
43.5,1.07,1.21,52.6213
43.11,1.55,1.2,52.50606
43.61,0.88,1.51,52.08921
43.23,0.91,0.54,53.54
43.41,0.65,0.69,53.62598
43.83,0.85,1.14,52.61483
45.6,1.19,1.87,49.66503
44.55,0.7,1.05,52.05
46.1,0.72,1.42,50.14241
42.42,0.04,0.79,55.21645
42.41,0.5,2.09,53.14557
42.55,0.45,0.42,54.84
43.51,0.41,0.69,53.85493
43.08,0.54,0.63,54.08
41.3,0.54,0.34,56.13
43.5,0.66,1.23,53.08433
43.25,0.52,0.66,54.07
42.83,0.98,0.67,53.72
44.9,0.75,0.8,52
43.89,0.55,0.57,53.44
42.69,0.62,0.49,54.87
40.93,1.04,0.743358661,55.70112773
43.3,0.74,1.1,53.18
41.92,0.59,1.143,54.83
43.24,0.86,1.04,53.26413
43.76,2.73,2.59,49.32638
43.19,0.76,2.51,51.88022
43.22,0.69,1.04,53.54867
43.28,0.44,0.58,54.16
42.42,0.76,0.51,54.75
43.89,0.76,0.86,53.03079
42.9,0.49,0.49,54.66
43.9,1.05,1.28,52.22536
44.06,1.23,1.62,51.63352
44.75,1.15,1.12,51.29
44.14,0.59,0.7,52.71
43,0.89,0.55,53.94
43.99,1.07,1.29,52.26019
41.47,1.18,1.33,54.33
42.97,0.58,0.65,54.35668
43.58,4.46,0.88,49.64464
43.25,0.72,1.1,53.41807
43.09,0.52,0.65,54.28847
44,3.56,4.68,45.85289
44.32,1.06,1.25,51.92807
45.68,2.36,0.74,49.71139
42.83,2.71,2.97,48.9
43.06,0.72,1.24,53.49
43.09,0.66,0.66,54.22312
42.92,0.6,0.92,54.22807
43.98,0.93,1.24,52.51413
44.89,0.77,1.37,51.50291
42.38,0.48,0.93,54.65312
42.06,1.41,0.53,54.23
43.64,0.76,1.14,53.08736
43.76,0.6,0.79,53.24325
44.18,1.78,1.77,50.76382
42.33,0.9,2.05,53.33586
42.79,0.81,1.006170329,54.04647514
42.07,0.45,1.32,54.78545
43.48,0.69,1.11,53.22847
44.65,0.94,1.5,51.19
44.07,2.58,3.11,48.68
44.4,0.52,1.31,52.51524
43.7,0.44,1.2,53.34
42.69,0.57,1.33,54.0794
44.06,0.85,1.46,52.31968
42.38,0.66,0.32,55.32
44.65,0.95,1.5,51.2
44.5,0.85,1.4,51.8
44.51,0.86,1.39,51.79
44.91,0.44,1.27,52.01746
43.55,0.83,1,53.18153
43.79,0.49,0.42,54.03
43.8,0.53,1.59,52.75
43.36,0.65,1.13,53.56292
43.73,0.7,0.87,53.3986
42.85,0.72,1.46,53.45
42.44,0.76,1.86,53.65
44.51,1.07,1.29,51.94625
46.38,1.06,1.09,50.21
44.39,1,1.97,50.99
43.2,1.05,1.41,52.83334
43.56,0.52,0.68,53.81335
44.14,1.35,2.19,50.91052
42.89,0.77,0.79,54.1507
43.98,0.66,0.88,53.34355
43.4,2.84,4.16,48.15921
43.97,0.63,1.31,52.97214
44.35,0.82,1.08,52.59675
41.82,0.76,0.995751,55.12018218
42.9,0.55,1.4,54.06701
43.39,0.54,0.766,54.24
43.11,0.68,0.41,54.64
43.81,0.73,0.85,53.24921
43.65,0.71,0.892,53.67
44.28,1.09,1.4,51.99312
43.38,1.35,0.34,53.2
40.53,1.38,0.43,56.58321
42.35,1.81,2.21,52.2982
43.65,0.69,0.53,53.75
44.6,1.96,2.95,49.25
41.73,1.34,0.88,54.871226
44.19,0.66,1.04,53.0216
43.26,1.06,1.48,53.01191
43.72,0.72,0.96,53.36
43.92,1.02,1.22,52.79
42.46,1.97,2.33,52.070244
43.73,1.08,1.35,52.77
47.2,0.95,0.55,50.3
42.81,2.71,1.48,51.901306
42.66,1.8,0.86,53.566316
43.2,2.82,1.75,51.036316
44.35,2.56,2.29,49.597318
42.43,2.35,1.1,53.056336
42.5,2.53,0.24,53.7
41.8,0.49,0.9,55.52254
43.64,1.62,1.07,52.697338
43.39,0.6,0.25,54.76
43.19,0.51,1.07,54.14
42.36,1.69,1.97,52.891386
43.69,0.69,1.19,53.4004
43.32,0.63,0.24,54.82
43.39,2.75,1.96,50.772388
44.26,0.63,1.05,52.98547
44.22,3.56,2.67,48.189402
48.2,0.65,2.13,47.8
44.24,0.87,1.024,52.92
43.55,0.68,0.98,53.81716
42.64,1.01,1.2,54.16842
43.86,1.03,1.32,52.820424
43.78,1.3,1.49,52.38345
46.07,3.63,4.61,44.21
43.32,0.37,0.94,54.37
42.59,1.36,1.03,54.01
43.56,0.53,0.63,54.32143
41.5,0.76,1.24,55.44
43.21,1.14,1.22,53.29
43.1,0.7,1.11,54.01405
44.97,0.7,0.79,52.61978
43.5,0.25,1.1,54.19
43.99,1.49,0.27,53.28
43.5,1.04,1.08,53.16
42.69,0.85,0.52,55.056496
42.76,2.4,0.71,53.1
43.4,0.56,1.6,53.43
43.8,0.65,1.58,52.95324
46.26,0.72,1.902,50.21
44.08,0.83,0.95,53.250544
43.33,0.79,0.4,54.54
43.62,0.7,1.15,53.57473
43.29,0.84,0.980131333,53.74598688
43.41,0.78,1.31,53.43898
41.56,0.78,0.975,55.79
44.32,0.5,1.18,53.08
43.95,1.39,2.63,50.91466
42.4,1.95,1.4,53.23
41.9,1.16,1.04,54.90002
43.59,0.65,1.26,53.51393
43.96,0.95,1.12,53.12251
45.55,0.71,0.88,51.77
43,0.41,0.72,54.4
42.65,0.27,0.242,55.98
45.25,0.9,1.234,51.8
45.4,0.69,0.96,52.04
44.3,0.94,0.74,53.19
46.59,0.99,1.755,49.7
44.55,0.84,1.405,52.39
43.97,0.67,0.22,54.31
42.86,0.71,0.83980782,54.62305637
44,1.55,0.93,52.56446
44.02,0.91,1.21,53.01807
43.47,0.62,0.98,54.12322
42.05,1.18,0.75,55.18
42.5,1.05,0.79,54.44234
45,1.81,1.97,50.31898
43.3,0.62,0.55,54.8
43.35,0.58,0.952,54.39
43.75,0.71,0.891,53.92
42.99,0.58,0.29,55.4
44.52,1.09,0.69,52.78
44.57,1.61,2.32,50.65
44.04,0.02,1.1,54.00425
43.63,0.55,0.768,54.37
40.92,0.3,0.8,56.17874
43.05,0.52,0.48,55.19
43.68,0.55,0.59,54.2
43.91,1,1.29,52.78
44,0.7,0.79,53.79
42.12,0.83,1.865,54.26
43.26,2,1.83,51.90153
45.66,1.05,0.78,51.79293
44.1,0.73,1.97,52.3
44.21,1.28,1.098,52.8
43.51,0.55,1.07,54.27
44.33,0.63,0.72,53.73
43.67,0.6,0.902,54.21
44.91,0.86,1.043,52.58
43.8,0.83,0.794,53.99
43.65,0.53,0.91,54.34
43.45,1.02,1.17,53.52
43.97,0.73,1.003,53.75
43.19,0.32,1.006,54.82
44.28,1.01,1.51,52.35
44.12,0.89,0.975,53.5
44.85,0.91,1.473,52.24
43.9,1.1,1.81,52.58
43.57,0.7,1.28,53.78
45.7,2.9,2.8,47.73708
44.15,1.32,1.35,52.64
43.85,0.64,0.982,54.02
42.56,0.72,0.44,55.68
44.6,1.03,0.33,53.54
45.16,1.04,1.499,51.73
43.31,0.92,2.02,53.09
45.45,0.38,0.6,53.04
42.4,0.41,1.01,55.61
46.02,0.27,0.6,52.61
44.34,1.07,0.77,53.36
47.46,0.37,0.77,50.88
43.58,1.23,1.32,53.21534
46.18,0.78,1.32,51.17
44.98,0.58,0.82,52.48
43.76,0.73,1.197,53.65
40.3,1,1.7,56.4183
47.95,0.76,1.47,49.29
43.86,1.36,1.45,52.68
46.32,0.78,1.05,51.37
47.22,0.91,0.89,50.52
42.67,1.45,2.8,52.25315
43.66,0.43,0.61,54.92
43.82,1.09,1.3,53.33
45.8,3.1,3.34,46.84183
44.01,0.11,0.39,55.09
44.03,1.12,1.34,52.81
43.51,0.96,0.97,54.05
43.32,0.54,0.92,54.83
44.28,1.07,1.3,52.72
44.48,0.87,0.76,53.53
44.02,0.72,1.15,53.54
38.6,2.1,1.7,57.1789
44.31,2.05,2.61,50.41
43.28,0.53,1.2,54.66
43.64,0.75,1.44,53.78
44,1.02,1.58,52.70799
44.26,1.07,1.39,52.55
43.76,0.65,1.13,53.88
42.7,0.58,1.36,55.02
44.67,0.86,1.19,52.6514
42.48,0.69,1.19,55.26415
43,0.96,1.11,53.84981
46.2,0.18,0.58,52.75
45.85,0.88,1.06,51.64
44.63,0.93,1.47,52.41
43.84,0.81,0.93,54.12
43.57,0.49,0.78,54.8
44.58,0.94,1.236,52.69
44.05,0.91,0.91,53.83
43.55,0.63,1.221,54.28
43.37,1.21,1.29,53.79
43.01,0.79,1.47,54.36
44.64,0.83,1.02,53.15
43.7,1.44,1.75,52.71
43.18,1.05,0.894,54.35
46.61,1.03,1.67,50.32
44.32,1.05,1.53,52.51
42.76,0.66,0.82,55.51
44.25,0.95,1.08,53.44
44.24,0.82,0.73,53.96
44.17,1.26,1.892,52.1
41.4,0.79,2.4,55.14716
43.21,0.59,1.311,54.45
41.98,1.11,0.38,56.19
43.96,1.01,1.12,53.5
43.97,0.9,1.27,53.64
43.5,0.89,1.05,54.35
43.62,0.78,0.99,54.24323
44.19,1.1,1.45,52.99
45.33,1.89,1.69,50.86
43.85,0.81,1.19,53.63
46.71,0.91,1.32,50.84
43.39,0.81,2.06,53.48
43.28,0.73,1.47,53.99
44.35,1.02,1.3,53.17
43.9,1.05,1.09,53.25
43.76,0.75,1.06,53.98
43.37,0.56,0.84,55
42.94,0.47,0.48,55.96
44.85,0.97,0.63,53.36
44.61,0.67,0.71,53.93
42.35,0.66,0.48,56.06
44.89,0.97,1.05,52.91
43.55,0.8,0.89,54.4
44.21,0.5,0.34,54.77
43.46,0.47,0.78,54.85
44.53,0.78,1.04,53.24
44.3,0.46,0.84,54.26
43.79,0.59,0.91,54.28
42.72,0.65,0.78,55.43
43.31,0.39,0.63,55.28
42.77,0.69,0.73,55.57
43.48,0.84,0.85,54.64
42.78,0.84,0.73,55.41
43.31,0.88,0.88,54.71
43.15,0.52,0.6,55.54
43.78,1.36,0.34,53.69
43.38,0.75,0.85,54.82
41.92,0.32,0.32,57.23
46,2.96,4.08,46.39
44.01,1.18,1.41,52.99
43.84,0.39,1.15,54.22
46.42,1.43,2.13,49.71
43.81,0.33,0.45,55.25
44.43,0.5,0.3,54.58
44.2,0.51,0.4,54.71
44.3,1.04,0.94,53.48
44.3,1.04,0.94,53.48
43.2,0.7,1.15,54.28
43.2,0.7,1.15,54.28
43.9,1.52,2.29,51.96
45.68,0.52,0.28,53.4
44.1,1.09,1.36,53.23
45.52,3.31,3.35,47.58
46.3,2.18,1.5,49.70353
41.99,0.43,1.65,55.46368
44.35,0.9,2.26,52.09
44.41,0.55,0.34,54.55
42.78,0.35,0.9,55.91
46.52,0.9,1.26,50.88
43.63,0.03,1.05,54.95
44.09,0.96,1.21,53.26
43.81,0.96,1.52,53.42
44.46,0.94,0.876,53.39
43.14,1.14,0.434,54.99
45.21,1.15,1.95,51.24
44.5,0.75,1.18,53.3
43.87,1.06,0.795,54.08
44.03,1.53,1.98,52.14
43.45,0.89,0.804,54.54
43.44,0.03,1.21,55.14
42.99,0.84,1.64,54.21
43.81,0.57,1.165,54.41
41.99,0.02,1.13,56.79
43.62,0.04,1.31,54.95
44.33,0.98,1.5,53.27
43.19,1.27,1.867,53.38
