,SIO2,CAO,AL2O3,MGO,Classification
334,43.89,2.79,2.21,49.27,Lherzolite
335,44.2,2.78,2.22,47.64705,Lherzolite
336,44.07,2.1,2.74,49.39,Lherzolite
337,44.22,2.81,2.23,49.65,Lherzolite
338,43.22,1.77,2.24,51.34809,Lherzolite
339,45.4,1.92,2.57,49.82,Lherzolite
340,44.7,3.26,2.25,48.04221,Lherzolite
341,44.73,1.82,2.25,50.04,Lherzolite
342,44.02,1.5,2.77,51.68,Lherzolite
343,44.34,2.15,2.69,51.495740000000005,Lherzolite
344,43.8,1.81,2.27,48.4809,Lherzolite
345,44.43,3.17,2.64,46.852140000000006,Lherzolite
346,44.01,2.71,2.27,48.97485,Lherzolite
347,43.62,1.81,2.27,50.81231,Lherzolite
348,43.46,1.83,2.74,50.57959,Lherzolite
349,44.17316953,2.078053659,2.277615346,50.83305446,Lherzolite
350,43.84,1.22,2.28,50.32413,Lherzolite
351,44.69,1.62,2.28,49.76,Lherzolite
352,44.44,1.36,2.7060000000000004,50.66,Harzburgite
353,44.4,1.94,2.29,49.38,Lherzolite
354,44.92,1.46,2.29,50.31928,Harzburgite
355,43.4,1.6,2.71,51.619,Lherzolite
356,40.6,2.25,2.3,51.56947,Dunite
357,44.6,2.02,2.3,49.44142,Lherzolite
358,43.84,2.05,2.31,49.644220000000004,Lherzolite
359,43.44,2.18,2.57,50.73,Lherzolite
360,44.53,1.37,2.742,50.75,Lherzolite
361,44.22,1.64,2.74,49.02,Lherzolite
362,43.97,2.27,2.34,50.05012,Lherzolite
363,42.97,2.2,2.34,50.79373,Lherzolite
364,44.15,2.21,2.87,49.46526,Lherzolite
365,43.12,2.09,2.62,50.65296,Lherzolite
366,44.12,1.8,2.83,50.74283,Lherzolite
367,44.75,2.25,2.35,49.08271,Lherzolite
368,43.29,2.84,2.63,49.21577,Lherzolite
369,43.91,2.46,2.655,50.11,Lherzolite
370,55.5,0.76,2.95,40.35,Lherzolite
371,45.0,1.77,2.37,49.1698,Lherzolite
372,44.57,1.93,2.37,50.45,Harzburgite
373,43.21,2.35,2.859,49.47,Lherzolite
374,44.86,2.0,2.38,48.970079999999996,Lherzolite
375,44.6,2.84,2.39,47.11331,Lherzolite
376,44.23,1.93,2.77,49.68,Lherzolite
377,44.69,2.38,2.4,46.32493,Lherzolite
378,44.11,2.12,2.4,49.73807,Lherzolite
379,42.84,3.45,2.822,48.98,Lherzolite
380,44.45,2.51,2.4,47.951859999999996,Lherzolite
381,44.2,2.22,2.41,48.757259999999995,Lherzolite
382,43.9,1.89,2.86,50.15,Lherzolite
383,44.39,1.91,2.41,50.67757,Lherzolite
384,44.82,1.79,3.32,49.33821,Lherzolite
385,44.56,2.2,2.42,48.04857,Lherzolite
386,44.12,2.02,2.42,48.97769,Lherzolite
387,46.62,2.41,2.8,47.7,Lherzolite
388,45.13,1.09,2.43,49.16637,Lherzolite
389,44.34,1.78,2.43,49.737359999999995,Lherzolite
390,44.5,1.94,2.43,49.54372,Lherzolite
391,44.37,1.45,2.92,49.32415,Lherzolite
392,42.89,1.28,2.45,50.864740000000005,Lherzolite
393,44.34,2.27,2.45,49.31021,Lherzolite
394,44.56,2.69,3.1,48.10315,Lherzolite
395,44.59,2.85,2.46,47.77746,Lherzolite
396,45.0,1.98,2.46,48.79655,Lherzolite
397,43.6,2.21,2.46,50.28567,Lherzolite
398,43.41,2.39,2.93,49.99255,Lherzolite
399,44.93,4.11,2.46,48.23,Lherzolite
400,44.15,1.25,2.47,49.50535,Lherzolite
401,44.13,2.26,2.47,48.55048,Lherzolite
402,44.31,2.18,2.47,48.689370000000004,Lherzolite
403,44.49,2.18,2.47,48.97139,Lherzolite
404,42.8,3.61,2.88,49.30133,Lherzolite
405,46.71,2.36,2.88,47.31,Lherzolite
406,44.44,2.24,2.48,48.686440000000005,Lherzolite
407,43.95,2.04,2.48,49.89414,Lherzolite
408,44.48,3.24,2.92,48.54416,Lherzolite
409,44.13,2.02,2.49,49.49203,Lherzolite
410,43.86,2.12,2.49,50.05686,Lherzolite
411,44.39,2.25,2.5,48.70644,Lherzolite
412,42.05,4.59,2.5,48.57014,Lherzolite
413,42.1,1.77,2.51,50.4604,Lherzolite
414,43.67,1.75,2.82,50.0778,Lherzolite
415,45.25,1.86,2.52,49.59,Lherzolite
416,52.91,21.78,3.34,20.0,Lherzolite
417,45.13,2.79,2.54,46.471090000000004,Lherzolite
418,44.2,2.66,2.55,48.38,Lherzolite
419,43.82,1.18,2.83,51.61092,Lherzolite
420,44.15,2.79,2.56,48.15,Lherzolite
421,44.94,2.66,2.56,49.69,Lherzolite
422,44.2,2.73,2.57,47.44372,Lherzolite
423,44.6,2.49,2.57,48.10221,Lherzolite
424,44.3,2.67,2.57,48.4,Lherzolite
425,44.45,2.33,2.57,49.324329999999996,Lherzolite
426,45.1,1.6,2.99,49.39,Lherzolite
427,43.99,2.43,2.98,48.37,Lherzolite
428,45.05,2.15,2.58,48.87362,Lherzolite
429,43.03,2.3,2.58,50.87,Lherzolite
430,44.82,2.37,2.58,49.84,Lherzolite
431,44.1,2.36,2.94,52.80291999999999,Lherzolite
432,44.34,1.82,2.59,50.14716,Lherzolite
433,43.81,3.41,3.009,49.63,Lherzolite
434,44.48,2.27,2.95,49.49,Lherzolite
435,43.84,2.34,3.09,50.05021,Lherzolite
436,43.43,2.32,2.6,51.35,Lherzolite
437,44.77,2.12,2.61,48.11291,Lherzolite
438,44.72,2.38,2.61,49.26605,Lherzolite
439,41.6,4.61,2.72,48.26981,Lherzolite
440,44.51,2.68,2.62,49.42,Lherzolite
441,44.05,2.13,3.02,52.560190000000006,Lherzolite
442,44.23,2.78,3.11,48.51688,Lherzolite
443,44.75,2.58,3.02,47.14497,Lherzolite
444,43.81,2.27,2.64,49.75999,Lherzolite
445,43.3,2.21,2.64,50.99,Lherzolite
446,44.5,2.56,2.65,48.44,Lherzolite
447,44.08,2.17,2.65,49.88514,Lherzolite
448,45.61,2.71,2.65,48.64,Lherzolite
449,46.92,3.55,2.65,46.27608,Lherzolite
450,43.3,1.97,2.66,48.83817,Lherzolite
451,44.17,2.31,2.66,48.604729999999996,Lherzolite
452,43.52,2.8,3.0039999999999996,49.64,Lherzolite
453,44.79,2.26,3.0,49.14,Lherzolite
454,43.86,2.63,3.0,50.11,Lherzolite
455,43.08936468,2.1956869180000003,2.666199114,50.80562485,Lherzolite
456,45.6,2.71,2.67,47.07,Lherzolite
457,42.47,2.42,2.67,50.91,Lherzolite
458,44.75,2.19,3.18,48.265240000000006,Lherzolite
459,43.48,3.56,2.68,49.03,Lherzolite
460,44.36,2.32,2.68,50.1,Lherzolite
461,46.11,3.05,2.69,46.42123,Lherzolite
462,43.87,2.73,3.04,49.96,Lherzolite
463,44.3,2.64,2.7,47.34949,Lherzolite
464,44.3,2.31,2.7,48.26614,Lherzolite
465,44.26,2.47,2.7,49.31,Lherzolite
466,45.26,2.48,2.71,47.816140000000004,Lherzolite
467,45.41,2.52,3.1,47.510690000000004,Lherzolite
468,43.92,2.34,3.16,49.34,Lherzolite
469,45.7,2.58,2.71,48.1086,Lherzolite
470,43.98,2.27,2.71,50.23453,Lherzolite
471,43.94,2.49,3.04,51.51343,Lherzolite
472,42.5,4.98,2.72,45.42468,Harzburgite
473,44.6,3.07,2.72,47.66,Lherzolite
474,44.31,2.16,2.95,48.63,Lherzolite
475,44.73,2.18,3.1180000000000003,49.7,Lherzolite
476,43.56,1.42,2.73,50.16372,Lherzolite
477,45.31,2.28,3.13,48.1,Lherzolite
478,44.48,2.12,3.15,49.04688,Lherzolite
479,46.45,3.06,2.73,47.55,Lherzolite
480,43.54,3.3,2.74,47.39618,Lherzolite
481,43.21,2.01,3.136,49.37,Lherzolite
482,43.78,2.68,2.74,48.644940000000005,Lherzolite
483,44.2,2.61,2.74,48.94301,Lherzolite
484,44.5,2.65,2.74,48.8,Lherzolite
485,44.31,1.93,2.74,49.73352,Lherzolite
486,45.82,2.82,3.071,47.14,Lherzolite
487,46.68,6.39,2.74,43.48,Lherzolite
488,44.6,2.42,3.12,48.12,Lherzolite
489,45.03,2.72,3.15,47.999309999999994,Lherzolite
490,43.06,1.7,2.76,49.66708,Lherzolite
491,44.75,2.12,3.16,47.89,Lherzolite
